Mitigation_scenario,Forest_use,Management_scenario,Category,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
RCP,MFM,AF25,Selective_im,5.02822221,4.998514605,4.991770538,4.968208829,6.034088935,6.229372836,6.32450594,6.970396683,7.43183308,7.104369199,6.830575795
RCP,MFM,AF50,Selection_im,22.37742816,18.14556689,15.83498568,14.42303365,13.10445936,12.09633768,11.53588653,11.59642355,11.56534665,11.30769432,10.74407883
RCP,MFM,AF50,Selective_im,5.02822221,4.997975383,4.988162582,4.966654264,5.641142476,6.104241938,6.362518889,7.270768012,7.561994704,7.130195977,6.829283539
RCP,MFM,AF75,Selection_im,22.37742816,18.14603219,15.83810455,14.47328975,13.15564993,12.61480253,12.68221724,13.37625407,13.69737777,13.69715746,12.95600098
RCP,MFM,AF75,Selective_im,5.02822221,4.998334389,4.988022624,4.97436027,5.842912335,6.242302932,7.208205937,7.857157763,8.129721171,7.760097972,7.474472002
RCP,MFM,AF100,Selection_im,22.37742816,18.14501211,15.83823313,14.56561014,13.27349044,12.84516773,13.24335828,13.94157143,14.53147711,14.81753051,14.25137907
RCP,MFM,AF100,Selective_im,5.02822221,4.999704396,4.99257317,5.001307167,6.213877297,6.894598492,8.702302863,9.180076865,9.156539617,8.555128487,8.162920583
RCP,SFM,noAF,Selection_im,22.37742816,18.14603219,15.84262333,14.46717181,13.08584497,12.47920565,12.20903294,12.47401528,12.4773614,12.70138666,12.31199284
RCP,SFM,noAF,Selective_im,5.02822221,4.997779783,4.993582611,5.019571818,6.608017455,7.322447171,7.899897987,8.231559312,9.04466146,8.568780366,8.152421724
RCP,SFM,AF0,Selection_im,22.37742816,18.14548946,15.84210863,14.38116013,12.91636216,11.86484822,10.93489619,10.05423189,9.399659768,8.472496813,7.898172192
RCP,SFM,AF0,Selective_im,5.02822221,4.997871817,4.99358182,4.970267957,5.993978099,6.201854475,6.309735535,6.157418794,7.298497423,7.116145912,7.08574733
RCP,SFM,AF25,Selection_im,22.37742816,18.14604451,15.83914512,14.4164429,13.0745115,12.17437206,11.9078238,12.10490243,12.14094059,11.74316379,11.17193926
RCP,SFM,AF25,Selective_im,5.02822221,4.997973375,4.992577037,4.978753552,5.728336879,6.209455138,6.855314823,7.256112366,7.568615012,7.286751242,7.0384927
RCP,SFM,AF50,Selection_im,22.37742816,18.14555457,15.83883566,14.57455577,13.41273361,13.10398063,13.56601404,14.20991692,14.80926156,14.80058229,14.30803357
RCP,SFM,AF50,Selective_im,5.02822221,4.999449352,4.996648245,5.054227452,6.704305957,7.551338867,10.63604375,11.16557161,11.2568513,10.83279013,10.27512289
RCP,SFM,AF75,Selection_im,22.37742816,18.14551606,15.39137924,13.98407903,13.28818729,13.91600529,15.76268161,17.46675513,19.27454182,19.76237925,19.49006161
RCP,SFM,AF75,Selective_im,5.02822221,4.999668845,4.992528212,5.504509147,7.190111589,9.050112692,11.14076544,11.50265382,11.73271491,11.25840111,10.66687003
RCP,SFM,AF100,Selection_im,22.37742816,18.14461527,15.49441032,14.09541678,13.6502098,14.50354876,16.86507882,19.17287261,22.04399454,22.81985634,22.59414229
RCP,SFM,AF100,Selective_im,5.02822221,4.999704396,4.992573809,6.025486685,8.049837414,10.93878727,14.12583252,14.69920921,14.21155724,13.51533434,12.68445461
RCP,MFM,AF0,Energy_plantations_im,0,0,0,0,14.97067735,41.18450925,62.62897699,100.6548577,133.3834014,163.1516103,201.3088609
RCP,MFM,AF100,Energy_plantations_im,0,0,0.0282,0.023294779,16.80950686,47.60053566,83.37184297,136.6963284,199.0893849,261.1668342,328.6352518
RCP,MFM,AF25,Energy_plantations_im,0,0,0.059612731,0.088793951,16.23559971,40.50824265,66.05095967,106.4076146,145.6531906,184.6360925,229.6621644
RCP,MFM,AF50,Energy_plantations_im,0,0,0,0.10062055,15.16837927,43.48936348,71.39197119,114.6953508,161.4260794,209.9229062,262.380482
RCP,MFM,AF75,Energy_plantations_im,0,0,0.0046,1.214500136,16.42994385,47.06872002,77.12568498,126.0337747,174.1566579,222.3832562,284.2539344
RCP,MFM,noAF,Energy_plantations_im,0,0,0.0046,0.223582481,14.86205125,43.49470146,75.0618409,115.3882795,150.0882643,184.2627827,227.747803
RCP,SFM,AF0,Energy_plantations_im,0,0,0.0046,2.139494473,15.64479948,38.89151765,67.06646129,101.2905674,132.275416,160.4923249,196.1838914
RCP,SFM,AF100,Energy_plantations_im,0,0,0.0046,1.076579566,20.56061729,63.44747029,109.4317114,185.2666913,268.8797337,358.7507221,443.7166333
RCP,SFM,AF25,Energy_plantations_im,0,0,0.0046,1.973593562,18.17729713,48.89373279,77.84902087,121.5985103,166.8505845,211.3476005,263.6811361
RCP,SFM,AF50,Energy_plantations_im,0,0,0,0.986373424,19.07957443,53.12132911,88.12238683,138.1002974,196.9697563,261.0570437,330.5488539
RCP,SFM,AF75,Energy_plantations_im,0,0,0.0282,0.845145358,21.37574884,56.80535536,96.3443482,160.7464472,238.1141303,318.0966657,399.1736977
RCP,SFM,noAF,Energy_plantations_im,0,0,0.0282,0.358860643,15.18235345,42.43244456,71.09870468,111.9993336,149.2956613,185.6556542,226.2939351
REF,MFM,AF0,Energy_plantations_im,0,0,0,0.81798471,7.65120097,19.89006448,26.60384363,27.74975279,28.8073644,30.55921746,31.38239828
REF,MFM,AF100,Energy_plantations_im,0,0,0.059612731,0.72466927,8.745685642,22.0728678,28.14378332,31.73703222,32.90724875,32.58213651,37.19179314
REF,MFM,AF25,Energy_plantations_im,0,0,0.0282,0.869215957,7.568872111,20.54951857,25.50092608,30.0540176,30.51640618,29.6312616,29.13332355
REF,MFM,AF50,Energy_plantations_im,0,0,0.0046,1.655709442,8.361701586,22.4358397,28.4012825,32.75797074,33.56029197,34.59956281,33.84437951
REF,MFM,AF75,Energy_plantations_im,0,0,0.0046,0.963346185,8.82803025,21.30959693,27.58921926,30.14782873,30.43868969,30.40768725,30.12553936
REF,MFM,noAF,Energy_plantations_im,0,0,0.059612731,0.550506094,7.847461798,20.47677709,25.44877248,26.94520833,27.72517255,27.33695151,27.64007452
REF,SFM,AF0,Energy_plantations_im,0,0,0.059612731,1.41050719,8.656097694,20.46259479,24.9151001,26.36592219,27.63567434,28.85226186,28.35415602
REF,SFM,AF100,Energy_plantations_im,0,0,0,0.916493001,10.72227011,26.39320057,38.4759111,54.00000234,63.56641606,77.90210641,87.11827876
REF,SFM,AF25,Energy_plantations_im,0,0,0.0282,0.299747557,8.584261475,21.60069278,27.20983213,28.46986873,29.00947453,32.17129638,33.53187185
REF,SFM,AF50,Energy_plantations_im,0,0,0.0282,1.077607057,8.879788732,21.67323366,27.03011936,32.80006357,38.63988368,38.03467598,37.21723311
REF,SFM,AF75,Energy_plantations_im,0,0,0.059612731,1.197146965,8.761545947,23.17044075,31.77657148,39.67443626,45.7095742,51.25634821,57.15770443
REF,SFM,noAF,Energy_plantations_im,0,0,0.0046,0.106436735,7.533217696,19.64652082,23.45331602,26.7641857,32.09294122,34.70122808,33.55590965
