Country,Mitigation_scenario,Forest_use,Management_scenario,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
Netherlands,RCP,MFM,AF25,0,0,0.008726571,0.009844636,1.107327192,1.717474467,2.053708567,2.460174258,2.649430285,2.735308923,2.760970648,Wood_EP_im
Poland,RCP,MFM,AF25,0,0,0.000745278,0.000936882,0.785147607,9.073101153,23.53331287,42.70428094,61.7152678,79.73883883,96.67671021,Wood_EP_im
Romania,RCP,MFM,AF25,0,0,0,0,0,0,0,1.643455655,6.519581253,11.55216622,16.22442472,Wood_EP_im
Slovakia,RCP,MFM,AF25,0,0,0,0,0,0,0,0,0,0,0.041492963,Wood_EP_im
Slovenia,RCP,MFM,AF25,0,0,0.00032499,0.000366629,0.041238512,0.063961304,0.076483162,0.091620549,0.098668725,0.101866973,0.102822654,Wood_EP_im
Spain,RCP,MFM,AF25,0,0,0,0,0,0,0,0,0.006088371,0.033046142,0.187676352,Wood_EP_im
Sweden,RCP,MFM,AF25,0,0,0.005203335,0.005869996,0.660258705,1.024067209,1.636520947,6.365857462,11.62718102,16.54590994,21.86462885,Wood_EP_im
UK,RCP,MFM,AF25,0,0,0.010246851,0.011559697,2.564730085,6.086941127,9.251609141,12.34966439,13.29969808,14.42279806,15.93197443,Wood_EP_im
EU28,RCP,MFM,AF25,0,0,0.059532767,0.088697287,16.22244134,40.48512643,65.8445259,105.6352713,144.7776725,183.7099006,228.7024308,Wood_EP_im
Belgium,RCP,MFM,AF50,0,0,0,0.008534527,0.792053757,1.317938158,1.514329016,1.789139663,1.941819037,2.016094693,2.031612699,Wood_EP_im
Bulgaria,RCP,MFM,AF50,0,0,0,0,0,0,0,0,0.086222324,0.340442523,0.927960765,Wood_EP_im
Cyprus,RCP,MFM,AF50,0,0,0,0,0,0,0,0.046092601,0.118427984,0.181913626,0.253177608,Wood_EP_im
CzechRep,RCP,MFM,AF50,0,0,0,0,0,0,0.346217074,1.828848567,2.770329778,3.705355196,4.711781755,Wood_EP_im
