"Scenario","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_SelectionSystem_im_median","For_SelectionSystem_ex_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_SFM_AF100",2040,0.000598058431770793,1.44649245686309e-05,9.58671299751491e-06,1.30483642853087e-05,3.03202606451664e-05,2.88101699542147e-05,2.06153199702337e-05,6.16112194628448e-05,2.18651423492694e-06,2.62888410770255e-06,3.857668371926e-06,0,4.1760235851111e-05,0,0,3.62943732358442e-07,0,0,0,5.484724047332e-06,1.26559896546198e-05,5.1620371337695e-05,4.30700635873445e-05,2.30318164828004e-06,5.76109931036658e-06,4.13560215551887e-06,3.10381659763983e-07,1.81696729517794e-06,3.52819215380648e-06,2.31777556754792e-05
"RCP_SFM_AF100",2050,0.000545293972622649,1.44362883663213e-05,9.645540905799e-06,1.30750596700501e-05,2.98090796644818e-05,2.88529724135306e-05,2.01912899209707e-05,6.15780608981945e-05,2.29117988935321e-06,2.85506997117954e-06,3.84875792143949e-06,0,4.35516108769655e-05,0,0,4.22428656361159e-07,0,0,0,5.53622602262088e-06,1.17550276778877e-05,5.40951225614649e-05,4.58836567542563e-05,2.20869810234983e-06,6.16796571383864e-06,4.11480570354407e-06,3.09377291382097e-07,1.87365243853665e-06,3.5005713469459e-06,2.32143366897729e-05
"RCP_SFM_AF100",2060,0.00046004225075997,1.43762327618798e-05,9.63746319861313e-06,1.30718099819822e-05,2.94404045259662e-05,2.8886494099184e-05,1.96437465525449e-05,6.15576921839616e-05,2.71398498676646e-06,2.92825018859108e-06,3.83425706547292e-06,0,4.54848900914574e-05,0,0,5.35875038624383e-07,0,0,0,5.41140014685084e-06,1.11710403231336e-05,5.40940004640502e-05,5.42323038970259e-05,2.11422273888496e-06,6.25442014580257e-06,4.10952753817701e-06,3.07917219483914e-07,1.95056690260591e-06,3.44842124121141e-06,2.34553630865129e-05
"RCP_SFM_AF100",2070,0.000347340516063203,1.41320777614227e-05,9.5140429229203e-06,1.29458589998773e-05,2.85888179226123e-05,2.89234079448431e-05,1.91855035022501e-05,6.15391347878067e-05,2.99788570672619e-06,2.97279330240118e-06,3.7684182396451e-06,0,4.66961205461455e-05,0,0,8.21069267673503e-07,0,0,0,6.66601558100034e-06,1.06172874758427e-05,5.05685710967283e-05,4.4168797734412e-05,1.95869468684607e-06,6.16957425989678e-06,4.03802898248556e-06,3.05331164936918e-07,2.10155401011924e-06,3.36074938729323e-06,2.45147218731738e-05
"RCP_SFM_AF100",2080,0.000212914002984375,1.38754817209499e-05,9.60423056384059e-06,1.28040314050188e-05,2.75097926459622e-05,2.89881145886733e-05,1.85236533592585e-05,6.1532427805569e-05,3.10275337773747e-06,2.94832473178369e-06,3.70970622521843e-06,0,4.59907839053643e-05,0,0,1.13490753217228e-06,0,0,0,6.73789997186312e-06,1.05856873052952e-05,4.86388901566778e-05,4.0737258636644e-05,1.87630707395538e-06,6.43340771367192e-06,3.88622917410861e-06,3.06695927162759e-07,2.34519326939155e-06,3.36997519221005e-06,2.59477453963852e-05
"RCP_SFM_AF100",2090,0.000156291675790633,1.37744317926952e-05,9.53826678531646e-06,1.26764500657919e-05,2.61035000960797e-05,2.89914194425092e-05,1.76029297231485e-05,6.14771499016315e-05,3.37279921873044e-06,3.00870874256403e-06,3.69824791738683e-06,0,4.59522663252789e-05,0,0,3.54330380310061e-07,0,0,0,8.92032683771103e-06,1.05818232492113e-05,4.64813957884156e-05,4.59428046393831e-05,1.70214084748101e-06,6.79254830658966e-06,3.68864503894371e-06,3.07818525369115e-07,2.61928629574164e-06,3.38212872946351e-06,2.7749013397261e-05
"RCP_SFM_AF100",2100,0.000104479404847422,1.37219223872807e-05,9.5417868618435e-06,1.25912959430696e-05,2.48010205639143e-05,2.88836290640937e-05,1.64008347730927e-05,6.12178601966877e-05,3.68275525552726e-06,3.01315313985403e-06,3.69515122280846e-06,0,4.43965669244174e-05,0,0,2.16594333633972e-07,0,0,0,1.01561950179025e-05,1.0564336907385e-05,4.33215474759964e-05,5.28970390016997e-05,1.54363159677079e-06,6.87963943656366e-06,3.48124940157103e-06,3.08030438099124e-07,2.82808738409182e-06,3.38373126755357e-06,2.9207248571055e-05
"RCP_SFM_AF25",2000,0.000605643615484148,1.4412957004003e-05,9.73757620498542e-06,1.29013726102151e-05,2.93464703718864e-05,2.83293732510216e-05,2.04900286303467e-05,6.11265254848231e-05,2.29741219721456e-06,1.82544898652424e-06,3.07390199511438e-06,0,4.11517777697479e-05,0,0,2.90386542643409e-07,0,0,0,0,0,0,0,0,0,4.59284586774752e-06,3.12918186862455e-07,1.66804798166984e-06,3.61562944012728e-06,2.26374089174274e-05
"RCP_SFM_AF25",2010,0.000594586461880845,1.43606499940181e-05,9.53340671083045e-06,1.28224809232748e-05,3.02035070518844e-05,2.84517453480844e-05,2.10866129968782e-05,6.12796375815109e-05,2.22516394609388e-06,2.1331601941317e-06,3.06838858416982e-06,0,4.10330746288412e-05,0,0,2.99529152145235e-07,0,0,0,0,0,0,0,2.40032335945327e-06,5.27450308033845e-06,4.31858941424349e-06,3.13628908607301e-07,1.64494167074565e-06,3.60737712717189e-06,2.23745841458828e-05
"RCP_SFM_AF25",2020,0.000612928203839352,1.44775263301195e-05,9.58082094650558e-06,1.29279141039546e-05,3.07529464720895e-05,2.86665672740505e-05,2.13959824011493e-05,6.15561312204382e-05,2.32696455455894e-06,2.3486460280493e-06,3.09405180861359e-06,0,4.1512673850295e-05,0,0,3.03629228052843e-07,0,0,0,3.12180172880447e-06,1.47351109017407e-05,5.02121794360404e-05,1.63732672686748e-05,2.5009284315143e-06,5.47106659970263e-06,4.1627914664108e-06,3.13357469030808e-07,1.72049327708059e-06,3.57397004259975e-06,2.27464895924834e-05
"RCP_SFM_AF25",2030,0.000600281038584107,1.44434938694147e-05,9.5590884889627e-06,1.28963178689308e-05,3.02785876612379e-05,2.87193698966029e-05,2.07988243234313e-05,6.15430029038115e-05,2.31761233135244e-06,2.35869152072728e-06,3.085927563941e-06,2.71863527110578e-07,4.12829299232113e-05,0,0,3.15828877346712e-07,0,0,0,5.34097461146683e-06,1.45156289112625e-05,5.66949854745993e-05,5.80588638072395e-05,2.33039508124155e-06,5.57797808064226e-06,4.14491975222511e-06,3.16151592604968e-07,1.77803935593171e-06,3.60446427479005e-06,2.30940173251412e-05
"RCP_SFM_AF25",2040,0.000597911608850344,1.44321228440058e-05,9.56598808726949e-06,1.30115934610428e-05,3.03157829545691e-05,2.88008554975521e-05,2.06124748358629e-05,6.16020066750302e-05,2.27276779545031e-06,2.3656584931161e-06,3.07853037285825e-06,2.84981979948048e-07,4.03342368747959e-05,0,0,3.36208586797311e-07,0,0,0,5.47617112243352e-06,1.33558381567058e-05,5.16012310617247e-05,4.14451708379582e-05,2.30182226030652e-06,5.76031556531281e-06,4.13947644812446e-06,3.11324984979753e-07,1.82128904982206e-06,3.53824627175246e-06,2.31964928179252e-05
