Ecoregion,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
IM0169,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0170,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0171,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0172,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0201,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0202,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0203,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0204,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0205,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0206,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0207,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0208,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0209,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0210,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0211,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0212,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0301,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0302,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0303,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0304,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0401,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0402,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0403,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0501,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0502,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0701,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM0901,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM1001,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM1301,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM1302,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM1303,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM1304,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM1401,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM1402,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM1403,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM1404,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM1405,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
IM1406,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
Lake,0.005121187,0.005121202,0.005121202,0.005121202,0.005121212,0.005121212,0.005121209,0.005121209,0.005121209,0.005121198,0.005121209,NotRel_EU
NA0201,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0302,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0303,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0401,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0402,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0403,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0404,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0405,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0406,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0407,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0408,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0409,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0410,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0411,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0412,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0413,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0414,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0415,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0416,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0417,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0501,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0502,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0503,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0504,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0505,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0506,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0507,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0508,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
