"Scenario","Year","Region","forest_EU_noex","forest_ex","forest_EU_ex","forest_im","EP_EU","EP_im","tot_noexport"
"REF_SFM_AF0","2060","ANZ",NA,NA,NA,3.19284938270018e-06,NA,2.63837145045544e-06,8.28922743339475e-06
"REF_SFM_AF0","2070","ANZ",NA,NA,NA,3.1984926770211e-06,NA,2.64016189126634e-06,8.29979467530691e-06
"REF_SFM_AF0","2080","ANZ",NA,NA,NA,3.20480810376691e-06,NA,2.64226643139128e-06,8.31176387050126e-06
"REF_SFM_AF0","2090","ANZ",NA,NA,NA,3.21417633478229e-06,NA,2.64464215295032e-06,8.328458195179e-06
"REF_SFM_AF0","2100","ANZ",NA,NA,NA,3.22333846185559e-06,NA,2.64618805219108e-06,8.34367992455947e-06
"REF_SFM_AF100","2000","ANZ",NA,NA,NA,3.05925588962746e-06,NA,NA,1.40796419581325e-05
"REF_SFM_AF100","2010","ANZ",NA,NA,NA,3.07017159538351e-06,NA,NA,8.04158661197368e-06
"REF_SFM_AF100","2020","ANZ",NA,NA,NA,3.08098350044842e-06,NA,NA,4.37969572487156e-06
"REF_SFM_AF100","2030","ANZ",NA,NA,NA,3.10219050658364e-06,NA,NA,4.40984201877226e-06
"REF_SFM_AF100","2040","ANZ",NA,NA,NA,3.10874744346971e-06,NA,NA,4.41916286987192e-06
"REF_SFM_AF100","2050","ANZ",NA,NA,NA,3.12157374175316e-06,NA,NA,NA
"REF_SFM_AF100","2060","ANZ",NA,NA,NA,3.12994454579351e-06,NA,NA,NA
"REF_SFM_AF100","2070","ANZ",NA,NA,NA,3.13573343132775e-06,NA,NA,NA
"REF_SFM_AF100","2080","ANZ",NA,NA,NA,3.1421236607844e-06,NA,NA,NA
"REF_SFM_AF100","2090","ANZ",NA,NA,NA,3.15170076481897e-06,NA,NA,NA
"REF_SFM_AF100","2100","ANZ",NA,NA,NA,3.16116954673458e-06,NA,NA,NA
"REF_SFM_AF25","2000","ANZ",NA,NA,NA,3.12124378217517e-06,NA,NA,1.43649294150497e-05
"REF_SFM_AF25","2010","ANZ",NA,NA,NA,3.13211148650811e-06,NA,NA,8.20382347194713e-06
"REF_SFM_AF25","2020","ANZ",NA,NA,NA,3.14313550306608e-06,NA,NA,NA
"REF_SFM_AF25","2030","ANZ",NA,NA,NA,3.16593257203202e-06,NA,NA,NA
"REF_SFM_AF25","2040","ANZ",NA,NA,NA,3.17273963022094e-06,NA,NA,NA
"REF_SFM_AF25","2050","ANZ",NA,NA,NA,3.18525190947237e-06,NA,NA,NA
"REF_SFM_AF25","2060","ANZ",NA,NA,NA,3.19283552597937e-06,NA,NA,NA
"REF_SFM_AF25","2070","ANZ",NA,NA,NA,3.19849158941707e-06,NA,NA,NA
"REF_SFM_AF25","2080","ANZ",NA,NA,NA,3.20479425589344e-06,NA,2.64287889667829e-06,8.31261482024717e-06
"REF_SFM_AF25","2090","ANZ",NA,NA,NA,3.2141896300217e-06,NA,2.64526733805911e-06,8.3293658110916e-06
"REF_SFM_AF25","2100","ANZ",NA,NA,NA,3.22334661915695e-06,NA,2.64682156451113e-06,8.34459207410434e-06
"REF_SFM_AF50","2000","ANZ",NA,NA,NA,3.12124378135693e-06,NA,NA,1.43649294112839e-05
"REF_SFM_AF50","2010","ANZ",NA,NA,NA,3.1321114511963e-06,NA,NA,8.2038233794562e-06
"REF_SFM_AF50","2020","ANZ",NA,NA,NA,3.14313547458532e-06,NA,NA,NA
"REF_SFM_AF50","2030","ANZ",NA,NA,NA,3.16593252363545e-06,NA,NA,NA
"REF_SFM_AF50","2040","ANZ",NA,NA,NA,3.17272219047906e-06,NA,2.63840173796536e-06,8.26065917665661e-06
"REF_SFM_AF50","2050","ANZ",NA,NA,NA,3.18526981391014e-06,NA,2.64039057158398e-06,8.28132311685171e-06
"REF_SFM_AF50","2060","ANZ",NA,NA,NA,3.19286450274021e-06,NA,2.64235570358927e-06,8.29491264319518e-06
"REF_SFM_AF50","2070","ANZ",NA,NA,NA,3.19853670721987e-06,NA,2.64455549592354e-06,8.3061028851381e-06
"REF_SFM_AF50","2080","ANZ",NA,NA,NA,3.20485757559327e-06,NA,2.64660554300709e-06,8.31800235251102e-06
"REF_SFM_AF50","2090","ANZ",NA,NA,NA,3.21424066536297e-06,NA,2.64912866033535e-06,8.3349273260848e-06
"REF_SFM_AF50","2100","ANZ",NA,NA,NA,3.22339951406008e-06,NA,2.65093319971774e-06,8.35051205865312e-06
"REF_SFM_AF75","2000","ANZ",NA,NA,NA,3.11896318421921e-06,NA,NA,1.43544333977734e-05
