"Scenario","Year","forest_EU_noex","forest_ex","forest_EU_ex","forest_im","EP_EU","EP_im","tot_noexport"
"REF_MFM_AF25","2030",3.28258301416637e-07,7.35741167342694e-07,3.89847314739812e-07,2.06625894328348e-06,6.6373594875138e-07,1.4637487431749e-06,2.49011920662808e-07
"REF_MFM_AF25","2040",3.03968598685541e-07,7.36646289154087e-07,3.75651022031822e-07,2.17493914902945e-06,6.62912266574255e-07,1.66730687917618e-06,2.23652423454473e-07
"REF_MFM_AF25","2050",2.85478332169384e-07,7.32743777148816e-07,3.59803325232143e-07,2.2118974822499e-06,6.35967314026137e-07,1.75599561258841e-06,2.03250934792201e-07
"REF_MFM_AF25","2060",2.82157909472801e-07,7.10882397885575e-07,3.54996347146506e-07,2.36106960532114e-06,5.95341287993905e-07,1.74537519283434e-06,1.95681339224968e-07
"REF_MFM_AF25","2070",2.7949722271984e-07,7.10603939176976e-07,3.53401231255349e-07,2.4623569871078e-06,5.98012691220161e-07,1.6272831239946e-06,1.8957912977906e-07
"REF_MFM_AF25","2080",2.74803958713931e-07,7.10846110028618e-07,3.50006387231139e-07,2.51907336101335e-06,6.13150665446001e-07,1.63524677094496e-06,1.8341240538504e-07
"REF_MFM_AF25","2090",2.72579108619952e-07,7.05486558509063e-07,3.48354385236768e-07,2.49401035680815e-06,6.19279202294368e-07,1.65312038529912e-06,1.78509404840756e-07
"REF_MFM_AF25","2100",3.08728815808495e-07,7.05344895635308e-07,3.78470175411069e-07,2.47676072271043e-06,6.23076263755667e-07,1.66949261963882e-06,1.97801308768048e-07
"REF_MFM_AF50","2000",4.23184591099693e-07,7.26300542598365e-07,4.63769153643448e-07,1.8643900287646e-06,NA,NA,3.39875864102365e-07
"REF_MFM_AF50","2010",3.86329998840583e-07,7.31479121238177e-07,4.37748862512478e-07,2.00056952610844e-06,NA,NA,3.02825145260685e-07
"REF_MFM_AF50","2020",3.50433367084297e-07,7.40223963324754e-07,4.11260562039018e-07,2.06965198384997e-06,7.13640494202579e-07,6.28938275718432e-07,2.71046994904403e-07
"REF_MFM_AF50","2030",3.25109455720663e-07,7.35839958848643e-07,3.87094699332965e-07,2.12582037644498e-06,6.58720541973271e-07,1.50298462554726e-06,2.47537757797888e-07
"REF_MFM_AF50","2040",2.98844838613717e-07,7.32257483417067e-07,3.70756353670775e-07,2.23338580104407e-06,6.49826490424397e-07,1.69585305587524e-06,2.19769367103326e-07
"REF_MFM_AF50","2050",2.8359676283973e-07,7.31540113755714e-07,3.57922178102827e-07,2.2600005169478e-06,6.24695202819429e-07,1.71941973661243e-06,2.00418462211337e-07
"REF_MFM_AF50","2060",2.81857516077326e-07,7.1494804088087e-07,3.55240479432843e-07,2.39513854238525e-06,5.95580054142352e-07,1.77123622344408e-06,1.92897542825634e-07
"REF_MFM_AF50","2070",2.75923288724955e-07,7.07384437258787e-07,3.50701064467782e-07,2.47874282432218e-06,5.92744295084299e-07,1.66600914868205e-06,1.83355570189927e-07
"REF_MFM_AF50","2080",2.67165149827165e-07,7.0632707918377e-07,3.44103596365609e-07,2.50232501705284e-06,6.0171293179318e-07,1.63355450792358e-06,1.73230187334353e-07
"REF_MFM_AF50","2090",2.74377460842246e-07,7.07150718304486e-07,3.51028523684304e-07,2.47721418211867e-06,6.09368912963993e-07,1.58782017470702e-06,1.73017399033304e-07
"REF_MFM_AF50","2100",3.11572167797861e-07,7.0740623725928e-07,3.82458459159414e-07,2.4277293333991e-06,6.15286643894028e-07,1.60039101836864e-06,1.90436787831753e-07
"REF_MFM_AF75","2000",4.23184466047538e-07,7.2629836724838e-07,4.63768754074429e-07,1.86418803679444e-06,NA,NA,3.39875376997762e-07
"REF_MFM_AF75","2010",3.86329909649988e-07,7.31476891159444e-07,4.37748454381378e-07,1.99921110913221e-06,NA,NA,3.02822772264137e-07
"REF_MFM_AF75","2020",3.50403514548575e-07,7.40354941070473e-07,4.11255807222375e-07,2.06627956290997e-06,7.136436722175e-07,6.29588721871766e-07,2.71020425512847e-07
