"Scenario","Globiom_Reg","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_MFM_AF25","Former_USSR","2080",0.0011687818065478,0.0014453328511655,0.00151949133058917,0.000254853074858904,0.0422443179840369,0.0397245770876639,0.115755146453761,0.00403534116837798,0.00137282828399611,0.00101259065296406,0.000480969498818864,1.21548274516142e-05,5.56661444585954e-05,0,0,5.9022179514169e-05,0,0.000261962663423681,0.000242705711263816,0.00122215107779019,0.000248256198768351,2.8017338335689e-05,0.00654987322432164,0.00511390133869866,2.50001960265373e-05,0.00645190956530485,0.00346785763027768,0.00924860741687914
"RCP_MFM_AF25","Former_USSR","2090",0.00111436960261191,0.00144517720665678,0.00137293680814179,0.000255352411954277,0.0413590573852001,0.0395888431781918,0.110297216738863,0.00401749339251858,0.00133466680236643,0.00115421799378836,0.000482832829127578,1.3558572057945e-05,6.31850644403599e-05,0,0,6.37878517341144e-05,0,0.000236532075211956,0.000295799825975844,0.00371984229763473,0.000253845707740235,5.82615756008418e-05,0.00714927730711074,0.00489047754708408,1.4507827838849e-05,0.00651970805884306,0.00355476167448337,0.00985278039604222
"RCP_MFM_AF25","Former_USSR","2100",0.000970180382963812,0.00143714016987701,0.00117056964618087,0.000254303323456561,0.0395940041979634,0.0393932221653535,0.103521553728477,0.00398978855222218,0.00128567096911789,0.00138280472645011,0.000483010461268499,1.6945854851596e-05,7.28049278151271e-05,0,0,6.47834272884245e-05,0,0.000265189489164427,0.000340522360927159,0.00610163189939781,0.000234552288660269,0.000122650656695197,0.00891848135130762,0.00447420673485973,9.20424104160897e-06,0.00662540274000967,0.0035784088560477,0.0107639915434101
"RCP_MFM_AF25","IndiaReg","2000",0,0,0,0,0.297734091037212,0.0351902719326177,0.0727312292766014,0.0405042871853808,0,3.62252670255554e-08,0,0,9.84923503585473e-06,0,0,0,0,0,0,0,0,0,0,0.00506658542149323,0,0.000668259229904867,0,0.111259219524519
"RCP_MFM_AF25","IndiaReg","2010",0,0,0,0,0.297100803494732,0.0353289564928733,0.0725849676088437,0.0405875425727593,0,3.53286996741922e-06,0,0,0.000392229634182356,0,0,0,0,0,0,0,0,0,0.00116243224111178,0.00313646136576642,0,0.00114743730008881,0,0.115594116482528
"RCP_MFM_AF25","IndiaReg","2020",0,0,0,0,0.299358904361152,0.035509041971998,0.0733020268694835,0.0406702891968806,0,5.52452498036297e-06,0,0,0.00043110902174599,0,0,0,0,0,0,0.000684007939357012,0,0,0.00187176833688252,0.0022542182941925,0,0.00138160898338158,0,0.117658035129976
"RCP_MFM_AF25","IndiaReg","2030",0,0,0,0,0.290499884402661,0.0356495400160738,0.0670199715635376,0.0407443004827418,0,5.59811425178098e-06,0,0,0.000524775865444493,0,0,0,0,0,0,0.0122097877789566,0,0,0.00280021082074343,0.000873373048670996,0,0.00159879469849682,0,0.121967610093337
"RCP_MFM_AF25","IndiaReg","2040",0,0,0,0,0.293579504321522,0.0358234763828543,0.0638223641243902,0.040816295153073,0,5.64316194997418e-06,0,0,0.0012039800104569,0,0,0,0,0,0,0.016812289871428,0,0,0.00345089962355445,0.000365799407184553,0,0.00146183502567295,0,0.122660610848139
"RCP_MFM_AF25","IndiaReg","2050",0,0,0,0,0.293035474096716,0.0359935012437157,0.0610253179169269,0.0409065655959098,0,5.7179704146477e-06,0,0,0.00120986567374318,0,0,0,0,0,0,0.0243237147593227,0,0,0.00362311320516782,0.000304089454824128,0,0.00138733737070805,0,0.122468025003771
"RCP_MFM_AF25","IndiaReg","2060",0,0,0,0,0.2852339134743,0.0359521422934901,0.0590360202914586,0.0408378502400163,0,6.47926363124797e-06,0,0,0.00121308779634052,0,0,0,0,0,0,0.0335961713712523,0,0,0.00370838463840898,0.000236836082594092,0,0.00140338525572219,0,0.121506440138848
"RCP_MFM_AF25","IndiaReg","2070",0,0,0,0,0.271185691562401,0.0358132270956652,0.0547206378976395,0.040702041672269,0,1.03301648367253e-05,0,0,0.00156417634940062,0,0,0,0,0,0,0.0461807909997253,0,0,0.00400481358603265,0.000229001864915888,0,0.00139089606724064,0,0.120647907520892
"RCP_MFM_AF25","IndiaReg","2080",0,0,0,0,0.247925687894334,0.0353532851076153,0.0477086348958066,0.0405357639791841,0,1.69242209830721e-05,0,0,0.00327054455907636,0,0,0,0,0,0,0.0592321122337055,0,0,0.00596272800675719,0.000144953846346378,0,0.0013761530487204,0,0.118216315003441
