Ecoregion,Globiom_Reg,Share
PA0507,MidEastNorthAfr,1
PA1328,MidEastNorthAfr,0.883515251
PA0805,MidEastNorthAfr,0.380575853
PA1009,MidEastNorthAfr,0.983035202
PA1307,MidEastNorthAfr,5.60E-06
Lake,MidEastNorthAfr,0.074633318
PA1305,MidEastNorthAfr,0.091379469
PA1308,MidEastNorthAfr,0.017655888
PA1319,MidEastNorthAfr,0.250719158
PA1306,MidEastNorthAfr,0.013577264
PA0446,MidEastNorthAfr,0.959606885
PA1313,MidEastNorthAfr,0.961074708
PA1326,MidEastNorthAfr,0.181540546
PA0906,MidEastNorthAfr,1
PA1207,MidEastNorthAfr,0.512917161
PA1220,MidEastNorthAfr,0.115308851
PA0432,EU,0.999193331
PA1211,EU,1
PA0401,EU,1
PA1218,EU,1
PA0510,JapanReg,1
PA0511,JapanReg,1
PA0427,JapanReg,1
OC0109,JapanReg,1
IM0170,JapanReg,1
PA0428,JapanReg,1
PA0440,JapanReg,1
PA0441,JapanReg,1
PA0423,JapanReg,1
PA0811,Former_USSR,1
PA0808,Former_USSR,0.978866436
PA1318,Former_USSR,1
PA1019,Former_USSR,0.310920794
PA1001,Former_USSR,0.538853597
PA1312,Former_USSR,1
PA1308,Former_USSR,0.982344112
PA1311,Former_USSR,1
PA1310,Former_USSR,1
PA0809,Former_USSR,1
PA0810,Former_USSR,1
PA0814,Former_USSR,0.732475014
PA0502,Former_USSR,0.248527957
PA0802,Former_USSR,0.97360359
PA1317,Former_USSR,0.104447346
PA0806,Former_USSR,0.293890046
PA0818,Former_USSR,0.932605485
PA0801,Former_USSR,1
PA0521,Former_USSR,0.53497132
PA1014,Former_USSR,0.674095356
Rock and Ice,Former_USSR,0.004074831
IM0121,RSEA_PAC,0.731413381
IM0137,RSEA_PAC,0.339620262
IM0139,RSEA_PAC,0.275558179
IM0141,RSEA_PAC,1
IM0136,RSEA_PAC,1
IM0138,RSEA_PAC,0.325543817
PA1332,MidEastNorthAfr,0.76643184
IM0102,MalaysiaReg,0.309062276
IM1405,MalaysiaReg,0.218552531
IM0146,MalaysiaReg,0.874273114
IM0145,MalaysiaReg,1
IM0163,MalaysiaReg,0.024062483
