Ecoregion,EU,RoW
NT0307,0,0
NT0308,0,0.000206289
NT0309,0,7.15E-05
NT0310,0,0.001051115
NT0401,0,0
NT0402,0,0.246932324
NT0404,0,0.060108108
NT0702,0,1.745108375
NT0703,0,0.01553892
NT0704,0,3.167184622
NT0707,0,0.652053933
NT0708,0,5.066214419
NT0709,0,4.348624478
NT0710,0,0.950670369
NT0801,0,0.9950946
NT0802,0,0.095684583
NT0803,0,2.684459855
NT0805,0,0.999827463
NT0902,0,0.025406181
NT0903,0,0.003838337
NT0904,0,0.707538915
NT0905,0,0.002378362
NT0906,0,0.100058821
NT0907,0,2.410955773
NT0908,0,0.557585262
NT0909,0,0.3935732
NT1001,0,0.059686423
NT1002,0,0.043033713
NT1003,0,0.024756203
NT1004,0,0.00532939
NT1005,0,0.00712203
NT1006,0,0.041122636
NT1007,0,0.000267909
NT1008,0,0.028847045
NT1010,0,0.020454743
NT1201,0,0.016742399
NT1301,0,0.031518474
NT1303,0,0.011268566
NT1304,0,0.080316947
NT1305,0,0.00199082
NT1306,0,0.010607366
NT1307,0,0
NT1308,0,0.059669443
NT1309,0,0.221062864
NT1312,0,5.75E-05
NT1313,0,0.023703305
NT1314,0,0
NT1315,0,0.015121818
NT1316,0,0.00068828
NT1401,0,0.287374388
NT1402,0,0.189279463
NT1403,0,0.044684464
NT1404,0,4.89E-07
NT1405,0,0.02320856
NT1406,0,0.010659107
NT1407,0,1.96E-05
OC0105,0,0.000128214
OC0106,0,0
OC0112,0,0
OC0114,0,0
OC0201,0,5.18E-05
OC0202,0,0
OC0701,0,0
OC0702,0,0
PA0101,0,0.00655923
PA0102,0,0.014814744
PA0401,4.08E-05,0
PA0402,0.003050344,0
PA0404,0.001161417,0
PA0405,0.018512136,3.26E-05
PA0406,0,0
PA0407,0,0
PA0408,0,0.115597534
PA0409,0.00014708,0
PA0410,0,0
PA0411,0,0.005667181
PA0412,0.155223372,0.053577263
PA0413,0,0.001515162
PA0414,0,0.045714758
PA0415,0,0.482127796
PA0416,0,0.030897506
PA0417,0,0.039430628
PA0418,1.61E-05,0
PA0419,0.013092429,0.638072555
PA0420,0,7.85E-05
PA0421,0,0
PA0422,0,0.00441683
PA0423,0,0.001645131
PA0424,0,0.232565458
PA0425,0,0
PA0426,0,0.839244342
PA0427,0,0.0004386
PA0428,0,0.001616576
PA0429,0.000125843,0.00051452
PA0430,0,0.200199439
PA0431,0.000319798,1.06E-06
PA0432,0.000479217,0
PA0433,0,0
PA0434,0,0.048179375
PA0435,0,0
PA0436,0.031060221,0.689819358
PA0437,0,0
PA0438,0,0.004996471
PA0439,0,2.17E-05
PA0440,0,0.001039177
PA0441,0,0.000314518
PA0442,0,0
PA0443,0,0.6737846
PA0444,0,0.688887079
PA0445,0.001672228,0
PA0446,0,0.128009985
PA0501,0.000109828,0
PA0502,0,0.035667001
PA0503,0.000327077,0
PA0504,0.001554559,0.000274626
PA0505,0,0.4038929
PA0506,0,0
PA0507,0,0.000451279
PA0508,0,0
PA0509,0,0
PA0510,0,0.004072544
PA0511,0,0.000269283
PA0512,0,0.006068646
PA0513,0,0.002890482
PA0514,0,0
PA0515,0,0
PA0516,0,0
PA0517,0,0.002793121
PA0518,0,0.041911475
PA0519,0,0.367222523
PA0520,0.00055972,0.083373116
PA0521,0,5.45E-07
PA0601,0,10.72376732
PA0602,0,0.461440248
PA0603,0,1.229287896
PA0604,0,0.065079342
PA0605,0,4.222330028
PA0606,0,1.752589774
PA0607,0,0.397845516
PA0608,2.759612811,12.48970856
PA0609,0,0.25534499
PA0610,0,0.682647277
PA0611,0,37.24312857
PA0801,0,1.61E-06
PA0802,0,0.014964919
PA0803,0,0
PA0804,0,0.158548053
PA0805,0,0.001286836
PA0806,0,0.007888676
PA0807,0,0
PA0808,0,0
PA0809,0,0.608342712
PA0810,0,0.396403844
PA0811,0,0.035490843
PA0812,0,0.006606683
PA0813,0,0.368952746
PA0814,0.18689402,0.752355883
PA0815,0,0.029027974
PA0816,0,0.124653759
PA0817,0,0.306037746
PA0818,0,0.001047321
PA0901,0,0.54819677
PA0902,0,0.025970572
PA0903,0,0.061309524
PA0904,0,0
PA0905,0,0.000292895
PA0906,0,0.014330943
PA0907,0,0.09412941
PA0908,0,0.027443947
PA1001,0,0.047629491
PA1002,0,0
PA1003,0,0
PA1004,0,0
PA1005,0,0
PA1006,0,0
PA1007,0,0.019468893
PA1008,0,0
PA1009,0,0.003815995
PA1010,0,0
PA1011,0,0
PA1012,0,0
PA1013,0,0
PA1014,0,0
PA1015,0,0
PA1016,0,0.081808796
PA1017,0,0.386317873
PA1018,0,0
PA1019,0,0.001665801
PA1020,0,0.002145908
PA1021,0,0
PA1022,0,0
PA1101,0,0.222016393
PA1102,0,1.523628963
PA1103,0,0.885246485
PA1104,0,0.141733484
PA1105,0,0.682510825
PA1106,0.002143392,0.693802824
PA1107,0,1.986181387
PA1108,0,3.600356373
PA1109,0,0.132434587
PA1110,0.699049028,1.025224359
PA1111,0,1.996127035
PA1112,0,0.813581341
PA1113,0,6.00E-05
PA1114,0,2.97342262
PA1201,0,0
PA1202,0,0
PA1203,0,0
PA1204,0,0
PA1205,0,0
PA1206,0,0
PA1207,0,0.004735247
PA1208,0,0
PA1209,0,0
PA1210,0.000141993,0
PA1211,0.000524771,0
PA1212,0,0
PA1213,0,0.001974461
PA1214,0,0.014648597
PA1215,0,0
PA1216,0,0
PA1217,0,0
PA1218,5.23E-06,0
PA1219,0,0
PA1220,0,0.000520172
PA1221,0,0
PA1222,4.20E-05,1.33E-05
PA1301,0,0
PA1302,0,0.000260258
PA1303,0,0.042295178
PA1304,0,0.000423803
PA1305,0,0
PA1306,0,0
PA1307,0,0.016910737
PA1308,0,0.251560462
PA1309,0,0
PA1310,0,0.083427722
PA1311,0,0.025772439
PA1312,0,0.00024242
PA1313,0,0.032260905
PA1314,0,3.18E-05
PA1315,0,0.008670582
PA1316,0,0.065681774
PA1317,0,0.029781917
PA1318,0,0.024802474
PA1319,0,0
PA1320,0,0.009136666
PA1321,0,0.002758234
PA1322,0,0
PA1323,0,0.006313981
PA1324,0,0
PA1325,0,0.017138589
PA1326,0,0
PA1327,0,0.000603554
PA1328,0,0.028203786
PA1329,0,0.003113053
PA1330,0,0
PA1331,0,0
PA1332,0,3.82E-05
PA1333,0,0.000483951
Rock and Ice,0,0.105690646
