Ecoregion,Annual_EU,Permanent_EU,Pasture_EU,Urban_EU,Annual_RoW,Permanent_RoW,Pasture_RoW,Urban_RoW,For_ClearCut_EU,For_ClearCut_im,For_ClearCut_ex,For_Retention_EU,For_PlantationFuel_im,For_TimberPlant_EU,For_TimberPlant_ex,For_TimberPlant_im,For_SelectionSystem_EU,For_SelectionSystem_im,For_SelectionSystem_ex,For_Selective_im,EP_EU,EP_conv_EU,EP_RoW,EP_conv_im,Afforested_EU,Afforested_RoW,Regrowth,ForOther_Extensive_EU,ForOther_Extensive_RoW,ForOther_Intensive_EU,ForOther_Intensive_RoW
OC0202,1.25E-12,1.07E-12,9.10E-13,1.68E-12,1.25E-12,1.07E-12,9.10E-13,1.68E-12,4.36E-13,4.36E-13,4.36E-13,1.26E-13,4.36E-13,4.36E-13,4.36E-13,4.36E-13,1.26E-13,1.26E-13,1.26E-13,1.26E-13,1.07E-12,1.07E-12,4.36E-13,4.36E-13,0.00E+00,0.00E+00,0.00E+00,1.26E-13,1.26E-13,4.36E-13,4.36E-13
OC0203,6.20E-12,6.09E-12,3.70E-12,9.89E-12,6.20E-12,6.09E-12,3.70E-12,9.89E-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.09E-12,6.09E-12,NA,NA,0.00E+00,0.00E+00,0.00E+00,NA,NA,NA,NA
OC0701,1.20E-12,1.08E-12,1.11E-12,1.79E-12,1.20E-12,1.08E-12,1.11E-12,1.79E-12,2.26E-13,2.26E-13,2.26E-13,6.08E-14,2.26E-13,2.26E-13,2.26E-13,2.26E-13,6.08E-14,6.08E-14,6.08E-14,6.08E-14,1.08E-12,1.08E-12,2.26E-13,2.26E-13,0.00E+00,0.00E+00,0.00E+00,6.08E-14,6.08E-14,2.26E-13,2.26E-13
OC0702,1.16E-12,9.29E-13,8.01E-13,1.39E-12,1.16E-12,9.29E-13,8.01E-13,1.39E-12,1.53E-13,1.53E-13,1.53E-13,1.09E-13,1.53E-13,1.53E-13,1.53E-13,1.53E-13,1.09E-13,1.09E-13,1.09E-13,1.09E-13,9.29E-13,9.29E-13,1.53E-13,1.53E-13,0.00E+00,0.00E+00,0.00E+00,1.09E-13,1.09E-13,1.53E-13,1.53E-13
PA0101,8.28E-14,6.04E-14,5.13E-14,9.54E-14,8.28E-14,6.04E-14,5.13E-14,9.54E-14,5.56E-14,5.56E-14,5.56E-14,1.58E-14,5.56E-14,5.56E-14,5.56E-14,5.56E-14,1.58E-14,1.58E-14,1.58E-14,1.58E-14,6.04E-14,6.04E-14,5.56E-14,5.56E-14,0.00E+00,0.00E+00,0.00E+00,1.58E-14,1.58E-14,5.56E-14,5.56E-14
PA0102,9.19E-14,6.72E-14,6.21E-14,1.13E-13,9.19E-14,6.72E-14,6.21E-14,1.13E-13,6.13E-14,6.13E-14,6.13E-14,1.71E-14,6.13E-14,6.13E-14,6.13E-14,6.13E-14,1.71E-14,1.71E-14,1.71E-14,1.71E-14,6.72E-14,6.72E-14,6.13E-14,6.13E-14,0.00E+00,0.00E+00,0.00E+00,1.71E-14,1.71E-14,6.13E-14,6.13E-14
PA0401,4.58E-14,2.84E-14,1.24E-14,4.92E-14,4.58E-14,2.84E-14,1.24E-14,4.92E-14,9.29E-15,9.29E-15,9.29E-15,8.49E-15,9.29E-15,9.29E-15,9.29E-15,9.29E-15,8.49E-15,8.49E-15,8.49E-15,8.49E-15,2.84E-14,2.84E-14,9.29E-15,9.29E-15,0.00E+00,0.00E+00,0.00E+00,8.49E-15,8.49E-15,9.29E-15,9.29E-15
PA0402,2.15E-14,1.33E-14,7.07E-15,2.05E-14,2.15E-14,1.33E-14,7.07E-15,2.05E-14,4.02E-15,4.02E-15,4.02E-15,2.15E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,2.15E-15,2.15E-15,2.15E-15,2.15E-15,1.33E-14,1.33E-14,4.02E-15,4.02E-15,0.00E+00,0.00E+00,0.00E+00,2.15E-15,2.15E-15,4.02E-15,4.02E-15
PA0403,3.27E-12,2.35E-12,1.19E-12,3.24E-12,3.27E-12,2.35E-12,1.19E-12,3.24E-12,5.45E-13,5.45E-13,5.45E-13,2.85E-13,5.45E-13,5.45E-13,5.45E-13,5.45E-13,2.85E-13,2.85E-13,2.85E-13,2.85E-13,2.35E-12,2.35E-12,5.45E-13,5.45E-13,0.00E+00,0.00E+00,0.00E+00,2.85E-13,2.85E-13,5.45E-13,5.45E-13
PA0404,2.95E-14,1.74E-14,1.01E-14,3.04E-14,2.95E-14,1.74E-14,1.01E-14,3.04E-14,6.11E-15,6.11E-15,6.11E-15,4.09E-15,6.11E-15,6.11E-15,6.11E-15,6.11E-15,4.09E-15,4.09E-15,4.09E-15,4.09E-15,1.74E-14,1.74E-14,6.11E-15,6.11E-15,0.00E+00,0.00E+00,0.00E+00,4.09E-15,4.09E-15,6.11E-15,6.11E-15
PA0405,1.87E-14,1.18E-14,5.61E-15,1.67E-14,1.87E-14,1.18E-14,5.61E-15,1.67E-14,3.37E-15,3.37E-15,3.37E-15,1.56E-15,3.37E-15,3.37E-15,3.37E-15,3.37E-15,1.56E-15,1.56E-15,1.56E-15,1.56E-15,1.18E-14,1.18E-14,3.37E-15,3.37E-15,0.00E+00,0.00E+00,0.00E+00,1.56E-15,1.56E-15,3.37E-15,3.37E-15
PA0406,3.98E-14,2.48E-14,1.13E-14,4.88E-14,3.98E-14,2.48E-14,1.13E-14,4.88E-14,1.06E-14,1.06E-14,1.06E-14,9.82E-15,1.06E-14,1.06E-14,1.06E-14,1.06E-14,9.82E-15,9.82E-15,9.82E-15,9.82E-15,2.48E-14,2.48E-14,1.06E-14,1.06E-14,0.00E+00,0.00E+00,0.00E+00,9.82E-15,9.82E-15,1.06E-14,1.06E-14
PA0407,1.81E-13,1.07E-13,7.63E-14,1.78E-13,1.81E-13,1.07E-13,7.63E-14,1.78E-13,3.22E-14,3.22E-14,3.22E-14,1.52E-14,3.22E-14,3.22E-14,3.22E-14,3.22E-14,1.52E-14,1.52E-14,1.52E-14,1.52E-14,1.07E-13,1.07E-13,3.22E-14,3.22E-14,0.00E+00,0.00E+00,0.00E+00,1.52E-14,1.52E-14,3.22E-14,3.22E-14
PA0408,1.35E-13,7.18E-14,6.15E-14,1.38E-13,1.35E-13,7.18E-14,6.15E-14,1.38E-13,1.51E-14,1.51E-14,1.51E-14,1.05E-14,1.51E-14,1.51E-14,1.51E-14,1.51E-14,1.05E-14,1.05E-14,1.05E-14,1.05E-14,7.18E-14,7.18E-14,1.51E-14,1.51E-14,0.00E+00,0.00E+00,0.00E+00,1.05E-14,1.05E-14,1.51E-14,1.51E-14
PA0409,1.07E-14,6.14E-15,5.41E-15,1.10E-14,1.07E-14,6.14E-15,5.41E-15,1.10E-14,8.08E-16,8.08E-16,8.08E-16,2.23E-16,8.08E-16,8.08E-16,8.08E-16,8.08E-16,2.23E-16,2.23E-16,2.23E-16,2.23E-16,6.14E-15,6.14E-15,8.08E-16,8.08E-16,0.00E+00,0.00E+00,0.00E+00,2.23E-16,2.23E-16,8.08E-16,8.08E-16
PA0410,1.29E-13,7.53E-14,4.99E-14,1.14E-13,1.29E-13,7.53E-14,4.99E-14,1.14E-13,1.06E-14,1.06E-14,1.06E-14,3.07E-15,1.06E-14,1.06E-14,1.06E-14,1.06E-14,3.07E-15,3.07E-15,3.07E-15,3.07E-15,7.53E-14,7.53E-14,1.06E-14,1.06E-14,0.00E+00,0.00E+00,0.00E+00,3.07E-15,3.07E-15,1.06E-14,1.06E-14
PA0411,3.90E-14,2.46E-14,1.47E-14,3.76E-14,3.90E-14,2.46E-14,1.47E-14,3.76E-14,7.55E-15,7.55E-15,7.55E-15,2.88E-15,7.55E-15,7.55E-15,7.55E-15,7.55E-15,2.88E-15,2.88E-15,2.88E-15,2.88E-15,2.46E-14,2.46E-14,7.55E-15,7.55E-15,0.00E+00,0.00E+00,0.00E+00,2.88E-15,2.88E-15,7.55E-15,7.55E-15
PA0412,1.99E-14,1.22E-14,6.23E-15,1.83E-14,1.99E-14,1.22E-14,6.23E-15,1.83E-14,3.48E-15,3.48E-15,3.48E-15,1.90E-15,3.48E-15,3.48E-15,3.48E-15,3.48E-15,1.90E-15,1.90E-15,1.90E-15,1.90E-15,1.22E-14,1.22E-14,3.48E-15,3.48E-15,0.00E+00,0.00E+00,0.00E+00,1.90E-15,1.90E-15,3.48E-15,3.48E-15
PA0413,4.84E-14,3.24E-14,1.40E-14,5.02E-14,4.84E-14,3.24E-14,1.40E-14,5.02E-14,1.50E-14,1.50E-14,1.50E-14,7.88E-15,1.50E-14,1.50E-14,1.50E-14,1.50E-14,7.88E-15,7.88E-15,7.88E-15,7.88E-15,3.24E-14,3.24E-14,1.50E-14,1.50E-14,0.00E+00,0.00E+00,0.00E+00,7.88E-15,7.88E-15,1.50E-14,1.50E-14
PA0414,1.83E-14,1.08E-14,2.93E-15,2.51E-14,1.83E-14,1.08E-14,2.93E-15,2.51E-14,2.98E-15,2.98E-15,2.98E-15,3.91E-15,2.98E-15,2.98E-15,2.98E-15,2.98E-15,3.91E-15,3.91E-15,3.91E-15,3.91E-15,1.08E-14,1.08E-14,2.98E-15,2.98E-15,0.00E+00,0.00E+00,0.00E+00,3.91E-15,3.91E-15,2.98E-15,2.98E-15
PA0415,5.55E-14,3.74E-14,2.08E-14,5.78E-14,5.55E-14,3.74E-14,2.08E-14,5.78E-14,1.51E-14,1.51E-14,1.51E-14,5.96E-15,1.51E-14,1.51E-14,1.51E-14,1.51E-14,5.96E-15,5.96E-15,5.96E-15,5.96E-15,3.74E-14,3.74E-14,1.51E-14,1.51E-14,0.00E+00,0.00E+00,0.00E+00,5.96E-15,5.96E-15,1.51E-14,1.51E-14
PA0416,1.08E-13,6.32E-14,2.48E-14,9.88E-14,1.08E-13,6.32E-14,2.48E-14,9.88E-14,1.45E-14,1.45E-14,1.45E-14,1.45E-14,1.45E-14,1.45E-14,1.45E-14,1.45E-14,1.45E-14,1.45E-14,1.45E-14,1.45E-14,6.32E-14,6.32E-14,1.45E-14,1.45E-14,0.00E+00,0.00E+00,0.00E+00,1.45E-14,1.45E-14,1.45E-14,1.45E-14
PA0417,5.69E-14,3.74E-14,2.75E-14,6.92E-14,5.69E-14,3.74E-14,2.75E-14,6.92E-14,1.90E-14,1.90E-14,1.90E-14,6.43E-15,1.90E-14,1.90E-14,1.90E-14,1.90E-14,6.43E-15,6.43E-15,6.43E-15,6.43E-15,3.74E-14,3.74E-14,1.90E-14,1.90E-14,0.00E+00,0.00E+00,0.00E+00,6.43E-15,6.43E-15,1.90E-14,1.90E-14
PA0418,3.85E-14,2.20E-14,1.10E-14,4.19E-14,3.85E-14,2.20E-14,1.10E-14,4.19E-14,9.96E-15,9.96E-15,9.96E-15,7.34E-15,9.96E-15,9.96E-15,9.96E-15,9.96E-15,7.34E-15,7.34E-15,7.34E-15,7.34E-15,2.20E-14,2.20E-14,9.96E-15,9.96E-15,0.00E+00,0.00E+00,0.00E+00,7.34E-15,7.34E-15,9.96E-15,9.96E-15
PA0419,1.90E-14,1.17E-14,5.75E-15,1.75E-14,1.90E-14,1.17E-14,5.75E-15,1.75E-14,3.12E-15,3.12E-15,3.12E-15,1.84E-15,3.12E-15,3.12E-15,3.12E-15,3.12E-15,1.84E-15,1.84E-15,1.84E-15,1.84E-15,1.17E-14,1.17E-14,3.12E-15,3.12E-15,0.00E+00,0.00E+00,0.00E+00,1.84E-15,1.84E-15,3.12E-15,3.12E-15
PA0420,1.12E-13,6.51E-14,5.14E-14,9.82E-14,1.12E-13,6.51E-14,5.14E-14,9.82E-14,6.12E-15,6.12E-15,6.12E-15,2.00E-15,6.12E-15,6.12E-15,6.12E-15,6.12E-15,2.00E-15,2.00E-15,2.00E-15,2.00E-15,6.51E-14,6.51E-14,6.12E-15,6.12E-15,0.00E+00,0.00E+00,0.00E+00,2.00E-15,2.00E-15,6.12E-15,6.12E-15
PA0421,1.70E-14,1.04E-14,5.30E-15,1.59E-14,1.70E-14,1.04E-14,5.30E-15,1.59E-14,2.82E-15,2.82E-15,2.82E-15,1.27E-15,2.82E-15,2.82E-15,2.82E-15,2.82E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.04E-14,1.04E-14,2.82E-15,2.82E-15,0.00E+00,0.00E+00,0.00E+00,1.27E-15,1.27E-15,2.82E-15,2.82E-15
PA0422,6.70E-14,4.59E-14,2.18E-14,6.43E-14,6.70E-14,4.59E-14,2.18E-14,6.43E-14,1.59E-14,1.59E-14,1.59E-14,9.09E-15,1.59E-14,1.59E-14,1.59E-14,1.59E-14,9.09E-15,9.09E-15,9.09E-15,9.09E-15,4.59E-14,4.59E-14,1.59E-14,1.59E-14,0.00E+00,0.00E+00,0.00E+00,9.09E-15,9.09E-15,1.59E-14,1.59E-14
PA0423,9.98E-14,6.29E-14,9.22E-15,9.17E-14,9.98E-14,6.29E-14,9.22E-15,9.17E-14,1.51E-14,1.51E-14,1.51E-14,9.17E-15,1.51E-14,1.51E-14,1.51E-14,1.51E-14,9.17E-15,9.17E-15,9.17E-15,9.17E-15,6.29E-14,6.29E-14,1.51E-14,1.51E-14,0.00E+00,0.00E+00,0.00E+00,9.17E-15,9.17E-15,1.51E-14,1.51E-14
PA0424,5.48E-14,3.57E-14,1.59E-14,4.92E-14,5.48E-14,3.57E-14,1.59E-14,4.92E-14,1.03E-14,1.03E-14,1.03E-14,5.15E-15,1.03E-14,1.03E-14,1.03E-14,1.03E-14,5.15E-15,5.15E-15,5.15E-15,5.15E-15,3.57E-14,3.57E-14,1.03E-14,1.03E-14,0.00E+00,0.00E+00,0.00E+00,5.15E-15,5.15E-15,1.03E-14,1.03E-14
PA0425,3.66E-13,2.45E-13,3.04E-13,4.57E-13,3.66E-13,2.45E-13,3.04E-13,4.57E-13,3.81E-14,3.81E-14,3.81E-14,7.66E-15,3.81E-14,3.81E-14,3.81E-14,3.81E-14,7.66E-15,7.66E-15,7.66E-15,7.66E-15,2.45E-13,2.45E-13,3.81E-14,3.81E-14,0.00E+00,0.00E+00,0.00E+00,7.66E-15,7.66E-15,3.81E-14,3.81E-14
PA0426,2.28E-14,1.33E-14,7.48E-15,2.65E-14,2.28E-14,1.33E-14,7.48E-15,2.65E-14,3.83E-15,3.83E-15,3.83E-15,1.71E-15,3.83E-15,3.83E-15,3.83E-15,3.83E-15,1.71E-15,1.71E-15,1.71E-15,1.71E-15,1.33E-14,1.33E-14,3.83E-15,3.83E-15,0.00E+00,0.00E+00,0.00E+00,1.71E-15,1.71E-15,3.83E-15,3.83E-15
PA0427,1.77E-13,1.20E-13,4.31E-14,1.90E-13,1.77E-13,1.20E-13,4.31E-14,1.90E-13,5.44E-14,5.44E-14,5.44E-14,2.69E-14,5.44E-14,5.44E-14,5.44E-14,5.44E-14,2.69E-14,2.69E-14,2.69E-14,2.69E-14,1.20E-13,1.20E-13,5.44E-14,5.44E-14,0.00E+00,0.00E+00,0.00E+00,2.69E-14,2.69E-14,5.44E-14,5.44E-14
PA0428,1.06E-13,6.60E-14,9.53E-15,1.12E-13,1.06E-13,6.60E-14,9.53E-15,1.12E-13,2.43E-14,2.43E-14,2.43E-14,1.22E-14,2.43E-14,2.43E-14,2.43E-14,2.43E-14,1.22E-14,1.22E-14,1.22E-14,1.22E-14,6.60E-14,6.60E-14,2.43E-14,2.43E-14,0.00E+00,0.00E+00,0.00E+00,1.22E-14,1.22E-14,2.43E-14,2.43E-14
PA0429,7.68E-15,5.07E-15,6.90E-15,9.63E-15,7.68E-15,5.07E-15,6.90E-15,9.63E-15,7.34E-16,7.34E-16,7.34E-16,1.42E-16,7.34E-16,7.34E-16,7.34E-16,7.34E-16,1.42E-16,1.42E-16,1.42E-16,1.42E-16,5.07E-15,5.07E-15,7.34E-16,7.34E-16,0.00E+00,0.00E+00,0.00E+00,1.42E-16,1.42E-16,7.34E-16,7.34E-16
PA0430,4.04E-14,2.60E-14,1.41E-14,3.70E-14,4.04E-14,2.60E-14,1.41E-14,3.70E-14,6.18E-15,6.18E-15,6.18E-15,2.64E-15,6.18E-15,6.18E-15,6.18E-15,6.18E-15,2.64E-15,2.64E-15,2.64E-15,2.64E-15,2.60E-14,2.60E-14,6.18E-15,6.18E-15,0.00E+00,0.00E+00,0.00E+00,2.64E-15,2.64E-15,6.18E-15,6.18E-15
PA0431,2.20E-14,1.36E-14,6.74E-15,2.09E-14,2.20E-14,1.36E-14,6.74E-15,2.09E-14,4.26E-15,4.26E-15,4.26E-15,2.46E-15,4.26E-15,4.26E-15,4.26E-15,4.26E-15,2.46E-15,2.46E-15,2.46E-15,2.46E-15,1.36E-14,1.36E-14,4.26E-15,4.26E-15,0.00E+00,0.00E+00,0.00E+00,2.46E-15,2.46E-15,4.26E-15,4.26E-15
PA0432,4.46E-14,2.91E-14,1.69E-14,4.63E-14,4.46E-14,2.91E-14,1.69E-14,4.63E-14,1.06E-14,1.06E-14,1.06E-14,5.84E-15,1.06E-14,1.06E-14,1.06E-14,1.06E-14,5.84E-15,5.84E-15,5.84E-15,5.84E-15,2.91E-14,2.91E-14,1.06E-14,1.06E-14,0.00E+00,0.00E+00,0.00E+00,5.84E-15,5.84E-15,1.06E-14,1.06E-14
PA0433,1.12E-13,7.22E-14,3.46E-14,1.31E-13,1.12E-13,7.22E-14,3.46E-14,1.31E-13,2.42E-14,2.42E-14,2.42E-14,1.46E-14,2.42E-14,2.42E-14,2.42E-14,2.42E-14,1.46E-14,1.46E-14,1.46E-14,1.46E-14,7.22E-14,7.22E-14,2.42E-14,2.42E-14,0.00E+00,0.00E+00,0.00E+00,1.46E-14,1.46E-14,2.42E-14,2.42E-14
PA0434,5.93E-14,3.95E-14,2.78E-14,7.75E-14,5.93E-14,3.95E-14,2.78E-14,7.75E-14,2.08E-14,2.08E-14,2.08E-14,8.27E-15,2.08E-14,2.08E-14,2.08E-14,2.08E-14,8.27E-15,8.27E-15,8.27E-15,8.27E-15,3.95E-14,3.95E-14,2.08E-14,2.08E-14,0.00E+00,0.00E+00,0.00E+00,8.27E-15,8.27E-15,2.08E-14,2.08E-14
PA0435,8.69E-14,5.08E-14,1.72E-14,7.46E-14,8.69E-14,5.08E-14,1.72E-14,7.46E-14,3.34E-15,3.34E-15,3.34E-15,8.39E-15,3.34E-15,3.34E-15,3.34E-15,3.34E-15,8.39E-15,8.39E-15,8.39E-15,8.39E-15,5.08E-14,5.08E-14,3.34E-15,3.34E-15,0.00E+00,0.00E+00,0.00E+00,8.39E-15,8.39E-15,3.34E-15,3.34E-15
PA0436,1.10E-14,6.11E-15,2.60E-15,1.05E-14,1.10E-14,6.11E-15,2.60E-15,1.05E-14,1.01E-15,1.01E-15,1.01E-15,9.51E-16,1.01E-15,1.01E-15,1.01E-15,1.01E-15,9.51E-16,9.51E-16,9.51E-16,9.51E-16,6.11E-15,6.11E-15,1.01E-15,1.01E-15,0.00E+00,0.00E+00,0.00E+00,9.51E-16,9.51E-16,1.01E-15,1.01E-15
PA0437,1.00E-13,7.17E-14,3.12E-14,1.01E-13,1.00E-13,7.17E-14,3.12E-14,1.01E-13,3.16E-14,3.16E-14,3.16E-14,1.12E-14,3.16E-14,3.16E-14,3.16E-14,3.16E-14,1.12E-14,1.12E-14,1.12E-14,1.12E-14,7.17E-14,7.17E-14,3.16E-14,3.16E-14,0.00E+00,0.00E+00,0.00E+00,1.12E-14,1.12E-14,3.16E-14,3.16E-14
PA0438,7.92E-15,6.86E-15,3.08E-15,1.87E-14,7.92E-15,6.86E-15,3.08E-15,1.87E-14,4.00E-15,4.00E-15,4.00E-15,3.10E-15,4.00E-15,4.00E-15,4.00E-15,4.00E-15,3.10E-15,3.10E-15,3.10E-15,3.10E-15,6.86E-15,6.86E-15,4.00E-15,4.00E-15,0.00E+00,0.00E+00,0.00E+00,3.10E-15,3.10E-15,4.00E-15,4.00E-15
PA0439,8.56E-14,6.81E-14,3.45E-14,9.53E-14,8.56E-14,6.81E-14,3.45E-14,9.53E-14,3.94E-14,3.94E-14,3.94E-14,1.29E-14,3.94E-14,3.94E-14,3.94E-14,3.94E-14,1.29E-14,1.29E-14,1.29E-14,1.29E-14,6.81E-14,6.81E-14,3.94E-14,3.94E-14,0.00E+00,0.00E+00,0.00E+00,1.29E-14,1.29E-14,3.94E-14,3.94E-14
PA0440,1.34E-13,9.11E-14,2.94E-14,1.35E-13,1.34E-13,9.11E-14,2.94E-14,1.35E-13,3.13E-14,3.13E-14,3.13E-14,2.08E-14,3.13E-14,3.13E-14,3.13E-14,3.13E-14,2.08E-14,2.08E-14,2.08E-14,2.08E-14,9.11E-14,9.11E-14,3.13E-14,3.13E-14,0.00E+00,0.00E+00,0.00E+00,2.08E-14,2.08E-14,3.13E-14,3.13E-14
PA0441,1.12E-13,7.01E-14,1.19E-14,1.29E-13,1.12E-13,7.01E-14,1.19E-14,1.29E-13,2.97E-14,2.97E-14,2.97E-14,1.33E-14,2.97E-14,2.97E-14,2.97E-14,2.97E-14,1.33E-14,1.33E-14,1.33E-14,1.33E-14,7.01E-14,7.01E-14,2.97E-14,2.97E-14,0.00E+00,0.00E+00,0.00E+00,1.33E-14,1.33E-14,2.97E-14,2.97E-14
PA0442,4.93E-15,2.97E-15,5.00E-15,NA,4.93E-15,2.97E-15,5.00E-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97E-15,2.97E-15,NA,NA,0.00E+00,0.00E+00,0.00E+00,NA,NA,NA,NA
PA0443,1.72E-14,8.63E-15,2.61E-15,2.32E-14,1.72E-14,8.63E-15,2.61E-15,2.32E-14,2.12E-15,2.12E-15,2.12E-15,3.55E-15,2.12E-15,2.12E-15,2.12E-15,2.12E-15,3.55E-15,3.55E-15,3.55E-15,3.55E-15,8.63E-15,8.63E-15,2.12E-15,2.12E-15,0.00E+00,0.00E+00,0.00E+00,3.55E-15,3.55E-15,2.12E-15,2.12E-15
PA0444,6.22E-15,3.96E-15,1.79E-15,6.53E-15,6.22E-15,3.96E-15,1.79E-15,6.53E-15,1.22E-15,1.22E-15,1.22E-15,7.25E-16,1.22E-15,1.22E-15,1.22E-15,1.22E-15,7.25E-16,7.25E-16,7.25E-16,7.25E-16,3.96E-15,3.96E-15,1.22E-15,1.22E-15,0.00E+00,0.00E+00,0.00E+00,7.25E-16,7.25E-16,1.22E-15,1.22E-15
PA0445,1.85E-14,1.10E-14,6.37E-15,1.74E-14,1.85E-14,1.10E-14,6.37E-15,1.74E-14,3.17E-15,3.17E-15,3.17E-15,2.08E-15,3.17E-15,3.17E-15,3.17E-15,3.17E-15,2.08E-15,2.08E-15,2.08E-15,2.08E-15,1.10E-14,1.10E-14,3.17E-15,3.17E-15,0.00E+00,0.00E+00,0.00E+00,2.08E-15,2.08E-15,3.17E-15,3.17E-15
PA0446,1.09E-13,6.11E-14,6.60E-14,1.14E-13,1.09E-13,6.11E-14,6.60E-14,1.14E-13,8.42E-15,8.42E-15,8.42E-15,3.65E-15,8.42E-15,8.42E-15,8.42E-15,8.42E-15,3.65E-15,3.65E-15,3.65E-15,3.65E-15,6.11E-14,6.11E-14,8.42E-15,8.42E-15,0.00E+00,0.00E+00,0.00E+00,3.65E-15,3.65E-15,8.42E-15,8.42E-15
PA0501,1.11E-13,7.77E-14,6.11E-14,1.24E-13,1.11E-13,7.77E-14,6.11E-14,1.24E-13,3.26E-14,3.26E-14,3.26E-14,2.27E-14,3.26E-14,3.26E-14,3.26E-14,3.26E-14,2.27E-14,2.27E-14,2.27E-14,2.27E-14,7.77E-14,7.77E-14,3.26E-14,3.26E-14,0.00E+00,0.00E+00,0.00E+00,2.27E-14,2.27E-14,3.26E-14,3.26E-14
PA0502,8.51E-15,5.65E-15,6.63E-15,1.35E-14,8.51E-15,5.65E-15,6.63E-15,1.35E-14,2.14E-15,2.14E-15,2.14E-15,5.95E-16,2.14E-15,2.14E-15,2.14E-15,2.14E-15,5.95E-16,5.95E-16,5.95E-16,5.95E-16,5.65E-15,5.65E-15,2.14E-15,2.14E-15,0.00E+00,0.00E+00,0.00E+00,5.95E-16,5.95E-16,2.14E-15,2.14E-15
PA0503,1.35E-14,1.18E-14,9.80E-15,1.95E-14,1.35E-14,1.18E-14,9.80E-15,1.95E-14,4.01E-15,4.01E-15,4.01E-15,4.00E-16,4.01E-15,4.01E-15,4.01E-15,4.01E-15,4.00E-16,4.00E-16,4.00E-16,4.00E-16,1.18E-14,1.18E-14,4.01E-15,4.01E-15,0.00E+00,0.00E+00,0.00E+00,4.00E-16,4.00E-16,4.01E-15,4.01E-15
PA0504,1.19E-13,8.55E-14,4.82E-14,1.14E-13,1.19E-13,8.55E-14,4.82E-14,1.14E-13,4.12E-14,4.12E-14,4.12E-14,1.99E-14,4.12E-14,4.12E-14,4.12E-14,4.12E-14,1.99E-14,1.99E-14,1.99E-14,1.99E-14,8.55E-14,8.55E-14,4.12E-14,4.12E-14,0.00E+00,0.00E+00,0.00E+00,1.99E-14,1.99E-14,4.12E-14,4.12E-14
PA0505,5.53E-15,4.52E-15,3.73E-15,8.39E-15,5.53E-15,4.52E-15,3.73E-15,8.39E-15,2.21E-15,2.21E-15,2.21E-15,1.02E-15,2.21E-15,2.21E-15,2.21E-15,2.21E-15,1.02E-15,1.02E-15,1.02E-15,1.02E-15,4.52E-15,4.52E-15,2.21E-15,2.21E-15,0.00E+00,0.00E+00,0.00E+00,1.02E-15,1.02E-15,2.21E-15,2.21E-15
PA0506,4.42E-14,2.10E-14,3.25E-14,6.36E-14,4.42E-14,2.10E-14,3.25E-14,6.36E-14,9.61E-15,9.61E-15,9.61E-15,5.17E-15,9.61E-15,9.61E-15,9.61E-15,9.61E-15,5.17E-15,5.17E-15,5.17E-15,5.17E-15,2.10E-14,2.10E-14,9.61E-15,9.61E-15,0.00E+00,0.00E+00,0.00E+00,5.17E-15,5.17E-15,9.61E-15,9.61E-15
PA0507,1.35E-13,9.42E-14,8.04E-14,1.50E-13,1.35E-13,9.42E-14,8.04E-14,1.50E-13,3.46E-14,3.46E-14,3.46E-14,8.32E-15,3.46E-14,3.46E-14,3.46E-14,3.46E-14,8.32E-15,8.32E-15,8.32E-15,8.32E-15,9.42E-14,9.42E-14,3.46E-14,3.46E-14,0.00E+00,0.00E+00,0.00E+00,8.32E-15,8.32E-15,3.46E-14,3.46E-14
PA0508,2.97E-14,9.74E-15,2.71E-14,5.08E-14,2.97E-14,9.74E-15,2.71E-14,5.08E-14,5.97E-15,5.97E-15,5.97E-15,3.60E-15,5.97E-15,5.97E-15,5.97E-15,5.97E-15,3.60E-15,3.60E-15,3.60E-15,3.60E-15,9.74E-15,9.74E-15,5.97E-15,5.97E-15,0.00E+00,0.00E+00,0.00E+00,3.60E-15,3.60E-15,5.97E-15,5.97E-15
PA0509,5.02E-13,3.70E-13,3.27E-13,5.55E-13,5.02E-13,3.70E-13,3.27E-13,5.55E-13,1.39E-13,1.39E-13,1.39E-13,2.00E-14,1.39E-13,1.39E-13,1.39E-13,1.39E-13,2.00E-14,2.00E-14,2.00E-14,2.00E-14,3.70E-13,3.70E-13,1.39E-13,1.39E-13,0.00E+00,0.00E+00,0.00E+00,2.00E-14,2.00E-14,1.39E-13,1.39E-13
PA0510,1.12E-13,8.21E-14,4.08E-14,1.15E-13,1.12E-13,8.21E-14,4.08E-14,1.15E-13,4.37E-14,4.37E-14,4.37E-14,1.91E-14,4.37E-14,4.37E-14,4.37E-14,4.37E-14,1.91E-14,1.91E-14,1.91E-14,1.91E-14,8.21E-14,8.21E-14,4.37E-14,4.37E-14,0.00E+00,0.00E+00,0.00E+00,1.91E-14,1.91E-14,4.37E-14,4.37E-14
