Ecoregion,Annual_median,Permanent_median,Pasture_median,Urban_median,ClearCut_median,Retention_median,PlantationFuel_median,Plantation_median,SelectionSystem_median,SelectiveLogging_median,Afforested_median,ForExtensive_median,ForIntensive_median
AT0906,5.04E-16,5.65E-16,5.26E-16,1.31E-15,3.05E-16,1.42E-16,3.05E-16,3.05E-16,1.42E-16,1.42E-16,0.00E+00,1.42E-16,3.05E-16
AT0907,1.07E-15,8.34E-16,8.97E-16,2.07E-15,5.08E-16,1.89E-16,5.08E-16,5.08E-16,1.89E-16,1.89E-16,0.00E+00,1.89E-16,5.08E-16
AT0908,3.01E-16,3.24E-16,3.45E-16,7.49E-16,1.88E-16,5.28E-17,1.88E-16,1.88E-16,5.28E-17,5.28E-17,0.00E+00,5.28E-17,1.88E-16
AT1001,1.65E-15,2.01E-15,1.70E-15,4.83E-15,1.16E-15,4.07E-16,1.16E-15,1.16E-15,4.07E-16,4.07E-16,0.00E+00,4.07E-16,1.16E-15
AT1002,1.53E-15,1.82E-15,1.54E-15,3.50E-15,1.07E-15,3.08E-16,1.07E-15,1.07E-15,3.08E-16,3.08E-16,0.00E+00,3.08E-16,1.07E-15
AT1003,1.53E-15,1.44E-15,1.52E-15,3.33E-15,8.83E-16,1.81E-16,8.83E-16,8.83E-16,1.81E-16,1.81E-16,0.00E+00,1.81E-16,8.83E-16
AT1004,1.85E-15,1.51E-15,1.47E-15,3.58E-15,9.17E-16,3.12E-16,9.17E-16,9.17E-16,3.12E-16,3.12E-16,0.00E+00,3.12E-16,9.17E-16
AT1005,2.16E-14,1.03E-14,1.89E-14,3.81E-14,6.23E-15,3.08E-15,6.23E-15,6.23E-15,3.08E-15,3.08E-15,0.00E+00,3.08E-15,6.23E-15
AT1006,5.61E-15,4.56E-15,4.27E-15,1.32E-14,2.89E-15,2.10E-15,2.89E-15,2.89E-15,2.10E-15,2.10E-15,0.00E+00,2.10E-15,2.89E-15
AT1007,2.45E-15,1.56E-15,1.29E-15,3.88E-15,9.93E-16,4.21E-16,9.93E-16,9.93E-16,4.21E-16,4.21E-16,0.00E+00,4.21E-16,9.93E-16
AT1008,1.08E-14,4.85E-15,5.34E-15,1.57E-14,3.38E-15,1.99E-15,3.38E-15,3.38E-15,1.99E-15,1.99E-15,0.00E+00,1.99E-15,3.38E-15
AT1009,1.20E-15,8.82E-16,6.59E-16,2.23E-15,4.91E-16,1.71E-16,4.91E-16,4.91E-16,1.71E-16,1.71E-16,0.00E+00,1.71E-16,4.91E-16
AT1010,1.63E-14,1.18E-14,7.31E-15,2.08E-14,5.73E-15,2.34E-15,5.73E-15,5.73E-15,2.34E-15,2.34E-15,0.00E+00,2.34E-15,5.73E-15
AT1011,5.81E-14,5.43E-14,4.53E-14,NaN,2.89E-14,1.16E-14,2.89E-14,2.89E-14,1.16E-14,1.16E-14,0.00E+00,1.16E-14,2.89E-14
AT1012,2.54E-15,1.89E-15,1.47E-15,4.27E-15,1.17E-15,4.56E-16,1.17E-15,1.17E-15,4.56E-16,4.56E-16,0.00E+00,4.56E-16,1.17E-15
AT1013,2.92E-14,1.65E-14,1.73E-14,4.40E-14,1.10E-14,4.07E-15,1.10E-14,1.10E-14,4.07E-15,4.07E-15,0.00E+00,4.07E-15,1.10E-14
AT1014,1.20E-14,7.96E-15,6.63E-15,1.82E-14,5.28E-15,1.71E-15,5.28E-15,5.28E-15,1.71E-15,1.71E-15,0.00E+00,1.71E-15,5.28E-15
AT1015,4.19E-15,2.96E-15,3.33E-15,8.03E-15,1.85E-15,8.25E-16,1.85E-15,1.85E-15,8.25E-16,8.25E-16,0.00E+00,8.25E-16,1.85E-15
AT1201,3.30E-15,3.23E-15,2.73E-15,6.00E-15,1.61E-15,6.25E-16,1.61E-15,1.61E-15,6.25E-16,6.25E-16,0.00E+00,6.25E-16,1.61E-15
AT1202,5.41E-15,3.82E-15,3.32E-15,8.36E-15,2.40E-15,6.59E-16,2.40E-15,2.40E-15,6.59E-16,6.59E-16,0.00E+00,6.59E-16,2.40E-15
AT1203,4.95E-15,4.38E-15,4.77E-15,8.90E-15,2.71E-15,6.07E-16,2.71E-15,2.71E-15,6.07E-16,6.07E-16,0.00E+00,6.07E-16,2.71E-15
AT1302,2.36E-15,2.22E-15,1.83E-15,3.55E-15,NaN,4.23E-16,NaN,NaN,4.23E-16,4.23E-16,0.00E+00,4.23E-16,NaN
AT1303,8.51E-16,4.21E-16,8.19E-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AT1304,NaN,NaN,3.24E-16,5.87E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AT1305,9.60E-16,7.28E-16,1.07E-15,1.99E-15,3.90E-16,1.27E-16,3.90E-16,3.90E-16,1.27E-16,1.27E-16,0.00E+00,1.27E-16,3.90E-16
AT1306,1.31E-15,1.09E-15,1.06E-15,2.03E-15,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AT1307,2.45E-15,2.46E-15,2.57E-15,5.97E-15,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AT1308,NaN,NaN,0.00E+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AT1309,3.48E-16,3.50E-16,3.87E-16,8.91E-16,NaN,4.54E-17,NaN,NaN,4.54E-17,4.54E-17,0.00E+00,4.54E-17,NaN
AT1310,7.57E-16,7.73E-16,7.97E-16,1.45E-15,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AT1311,3.47E-14,3.04E-14,2.53E-14,5.36E-14,1.40E-14,5.60E-15,1.40E-14,1.40E-14,5.60E-15,5.60E-15,0.00E+00,5.60E-15,1.40E-14
AT1312,1.23E-14,1.01E-14,1.02E-14,2.18E-14,4.86E-15,1.90E-15,4.86E-15,4.86E-15,1.90E-15,1.90E-15,0.00E+00,1.90E-15,4.86E-15
AT1313,7.90E-16,7.22E-16,9.89E-16,NaN,4.47E-16,9.04E-17,4.47E-16,4.47E-16,9.04E-17,9.04E-17,0.00E+00,9.04E-17,4.47E-16
AT1314,1.31E-15,1.08E-15,1.29E-15,2.94E-15,5.65E-16,1.77E-16,5.65E-16,5.65E-16,1.77E-16,1.77E-16,0.00E+00,1.77E-16,5.65E-16
AT1315,NaN,NaN,6.48E-16,1.16E-15,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AT1316,1.21E-15,1.18E-15,1.17E-15,2.38E-15,6.16E-16,1.76E-16,6.16E-16,6.16E-16,1.76E-16,1.76E-16,0.00E+00,1.76E-16,6.16E-16
AT1318,1.72E-13,1.57E-13,9.35E-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
AT1319,1.43E-15,1.57E-15,1.65E-15,NaN,8.74E-16,2.06E-16,8.74E-16,8.74E-16,2.06E-16,2.06E-16,0.00E+00,2.06E-16,8.74E-16
AT1320,1.95E-15,1.95E-15,1.58E-15,3.13E-15,NaN,3.34E-16,NaN,NaN,3.34E-16,3.34E-16,0.00E+00,3.34E-16,NaN
AT1321,1.72E-15,1.81E-15,1.45E-15,3.29E-15,NaN,2.80E-16,NaN,NaN,2.80E-16,2.80E-16,0.00E+00,2.80E-16,NaN
AT1322,2.16E-15,1.75E-15,2.26E-15,4.41E-15,9.78E-16,2.83E-16,9.78E-16,9.78E-16,2.83E-16,2.83E-16,0.00E+00,2.83E-16,9.78E-16
AT1401,2.73E-15,2.07E-15,1.58E-15,4.81E-15,1.36E-15,7.67E-16,1.36E-15,1.36E-15,7.67E-16,7.67E-16,0.00E+00,7.67E-16,1.36E-15
AT1402,4.36E-15,3.58E-15,3.30E-15,8.54E-15,2.21E-15,1.19E-15,2.21E-15,2.21E-15,1.19E-15,1.19E-15,0.00E+00,1.19E-15,2.21E-15
AT1403,4.76E-15,4.31E-15,2.79E-15,6.59E-15,2.17E-15,9.55E-16,2.17E-15,2.17E-15,9.55E-16,9.55E-16,0.00E+00,9.55E-16,2.17E-15
AT1404,2.24E-14,1.76E-14,1.78E-14,3.70E-14,8.90E-15,4.36E-15,8.90E-15,8.90E-15,4.36E-15,4.36E-15,0.00E+00,4.36E-15,8.90E-15
AT1405,1.96E-14,1.66E-14,9.59E-15,2.49E-14,9.98E-15,3.96E-15,9.98E-15,9.98E-15,3.96E-15,3.96E-15,0.00E+00,3.96E-15,9.98E-15
IM0101,4.54E-14,2.34E-14,1.53E-14,6.29E-14,2.76E-14,1.38E-14,2.76E-14,2.76E-14,1.38E-14,1.38E-14,0.00E+00,1.38E-14,2.76E-14
IM0102,6.12E-15,4.95E-15,2.06E-15,9.08E-15,3.39E-15,1.68E-15,3.39E-15,3.39E-15,1.68E-15,1.68E-15,0.00E+00,1.68E-15,3.39E-15
IM0103,9.31E-15,7.15E-15,3.04E-15,1.48E-14,5.50E-15,3.34E-15,5.50E-15,5.50E-15,3.34E-15,3.34E-15,0.00E+00,3.34E-15,5.50E-15
IM0104,4.53E-15,3.72E-15,1.73E-15,6.94E-15,2.46E-15,1.26E-15,2.46E-15,2.46E-15,1.26E-15,1.26E-15,0.00E+00,1.26E-15,2.46E-15
IM0105,9.89E-15,7.21E-15,3.70E-15,1.22E-14,5.70E-15,1.71E-15,5.70E-15,5.70E-15,1.71E-15,1.71E-15,0.00E+00,1.71E-15,5.70E-15
IM0106,7.85E-15,5.83E-15,3.47E-15,9.69E-15,4.01E-15,1.62E-15,4.01E-15,4.01E-15,1.62E-15,1.62E-15,0.00E+00,1.62E-15,4.01E-15
IM0107,1.03E-14,8.20E-15,4.17E-15,1.20E-14,4.33E-15,1.71E-15,4.33E-15,4.33E-15,1.71E-15,1.71E-15,0.00E+00,1.71E-15,4.33E-15
IM0108,9.60E-15,7.40E-15,4.36E-15,1.15E-14,4.67E-15,1.67E-15,4.67E-15,4.67E-15,1.67E-15,1.67E-15,0.00E+00,1.67E-15,4.67E-15
IM0109,3.79E-15,2.65E-15,2.07E-15,6.20E-15,2.02E-15,9.69E-16,2.02E-15,2.02E-15,9.69E-16,9.69E-16,0.00E+00,9.69E-16,2.02E-15
IM0110,NaN,NaN,2.24E-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
IM0111,2.10E-15,1.64E-15,8.34E-16,2.62E-15,1.16E-15,3.89E-16,1.16E-15,1.16E-15,3.89E-16,3.89E-16,0.00E+00,3.89E-16,1.16E-15
IM0112,1.23E-14,1.07E-14,4.72E-15,1.72E-14,7.13E-15,2.09E-15,7.13E-15,7.13E-15,2.09E-15,2.09E-15,0.00E+00,2.09E-15,7.13E-15
IM0113,7.18E-15,5.85E-15,2.68E-15,9.80E-15,3.86E-15,1.09E-15,3.86E-15,3.86E-15,1.09E-15,1.09E-15,0.00E+00,1.09E-15,3.86E-15
IM0114,6.17E-14,5.53E-14,NaN,7.63E-14,2.98E-14,8.76E-15,2.98E-14,2.98E-14,8.76E-15,8.76E-15,0.00E+00,8.76E-15,2.98E-14
IM0115,8.07E-15,5.33E-15,3.13E-15,1.02E-14,4.27E-15,1.88E-15,4.27E-15,4.27E-15,1.88E-15,1.88E-15,0.00E+00,1.88E-15,4.27E-15
IM0116,9.00E-15,7.28E-15,3.55E-15,1.04E-14,3.77E-15,1.34E-15,3.77E-15,3.77E-15,1.34E-15,1.34E-15,0.00E+00,1.34E-15,3.77E-15
IM0117,5.09E-15,3.82E-15,2.10E-15,6.40E-15,2.47E-15,1.04E-15,2.47E-15,2.47E-15,1.04E-15,1.04E-15,0.00E+00,1.04E-15,2.47E-15
IM0118,2.28E-15,1.86E-15,1.20E-15,3.11E-15,1.42E-15,4.44E-16,1.42E-15,1.42E-15,4.44E-16,4.44E-16,0.00E+00,4.44E-16,1.42E-15
IM0119,5.01E-15,3.80E-15,2.44E-15,7.34E-15,2.92E-15,1.22E-15,2.92E-15,2.92E-15,1.22E-15,1.22E-15,0.00E+00,1.22E-15,2.92E-15
IM0120,1.73E-15,1.30E-15,6.26E-16,2.17E-15,9.87E-16,2.91E-16,9.87E-16,9.87E-16,2.91E-16,2.91E-16,0.00E+00,2.91E-16,9.87E-16
IM0121,5.10E-15,3.26E-15,2.41E-15,7.29E-15,2.57E-15,1.36E-15,2.57E-15,2.57E-15,1.36E-15,1.36E-15,0.00E+00,1.36E-15,2.57E-15
IM0122,2.67E-14,2.21E-14,9.45E-15,3.88E-14,1.41E-14,6.77E-15,1.41E-14,1.41E-14,6.77E-15,6.77E-15,0.00E+00,6.77E-15,1.41E-14
IM0123,2.62E-14,2.33E-14,9.27E-15,3.37E-14,1.39E-14,4.33E-15,1.39E-14,1.39E-14,4.33E-15,4.33E-15,0.00E+00,4.33E-15,1.39E-14
IM0124,2.24E-14,1.70E-14,9.22E-15,2.56E-14,1.06E-14,3.92E-15,1.06E-14,1.06E-14,3.92E-15,3.92E-15,0.00E+00,3.92E-15,1.06E-14
IM0125,1.22E-15,1.08E-15,6.55E-16,1.79E-15,6.32E-16,2.10E-16,6.32E-16,6.32E-16,2.10E-16,2.10E-16,0.00E+00,2.10E-16,6.32E-16
IM0126,8.96E-15,7.00E-15,4.85E-15,1.28E-14,5.51E-15,1.88E-15,5.51E-15,5.51E-15,1.88E-15,1.88E-15,0.00E+00,1.88E-15,5.51E-15
IM0127,6.65E-14,1.61E-14,NaN,NaN,3.09E-14,3.14E-14,3.09E-14,3.09E-14,3.14E-14,3.14E-14,0.00E+00,3.14E-14,3.09E-14
IM0128,4.45E-14,3.97E-14,1.54E-14,6.06E-14,2.47E-14,8.10E-15,2.47E-14,2.47E-14,8.10E-15,8.10E-15,0.00E+00,8.10E-15,2.47E-14
IM0129,2.11E-14,1.88E-14,7.64E-15,2.80E-14,1.15E-14,3.68E-15,1.15E-14,1.15E-14,3.68E-15,3.68E-15,0.00E+00,3.68E-15,1.15E-14
IM0130,5.71E-14,4.54E-14,NaN,7.46E-14,2.93E-14,8.23E-15,2.93E-14,2.93E-14,8.23E-15,8.23E-15,0.00E+00,8.23E-15,2.93E-14
IM0131,5.23E-15,3.88E-15,2.66E-15,7.78E-15,2.93E-15,1.25E-15,2.93E-15,2.93E-15,1.25E-15,1.25E-15,0.00E+00,1.25E-15,2.93E-15
IM0132,6.49E-15,5.19E-15,2.93E-15,8.25E-15,3.09E-15,1.24E-15,3.09E-15,3.09E-15,1.24E-15,1.24E-15,0.00E+00,1.24E-15,3.09E-15
IM0133,1.10E-13,6.68E-14,3.87E-14,NaN,6.96E-14,3.00E-14,6.96E-14,6.96E-14,3.00E-14,3.00E-14,0.00E+00,3.00E-14,6.96E-14
IM0134,1.31E-14,1.04E-14,5.40E-15,1.54E-14,6.83E-15,2.26E-15,6.83E-15,6.83E-15,2.26E-15,2.26E-15,0.00E+00,2.26E-15,6.83E-15
IM0135,2.98E-14,2.29E-14,1.16E-14,3.65E-14,1.64E-14,6.56E-15,1.64E-14,1.64E-14,6.56E-15,6.56E-15,0.00E+00,6.56E-15,1.64E-14
IM0136,1.64E-14,9.59E-15,7.44E-15,2.37E-14,7.71E-15,5.28E-15,7.71E-15,7.71E-15,5.28E-15,5.28E-15,0.00E+00,5.28E-15,7.71E-15
IM0137,5.82E-15,4.29E-15,3.16E-15,8.54E-15,3.39E-15,1.36E-15,3.39E-15,3.39E-15,1.36E-15,1.36E-15,0.00E+00,1.36E-15,3.39E-15
IM0138,7.47E-15,5.91E-15,3.29E-15,8.81E-15,3.31E-15,1.33E-15,3.31E-15,3.31E-15,1.33E-15,1.33E-15,0.00E+00,1.33E-15,3.31E-15
IM0139,3.48E-15,2.33E-15,1.59E-15,4.80E-15,2.06E-15,8.58E-16,2.06E-15,2.06E-15,8.58E-16,8.58E-16,0.00E+00,8.58E-16,2.06E-15
IM0140,6.42E-15,3.58E-15,2.46E-15,1.06E-14,3.54E-15,2.31E-15,3.54E-15,3.54E-15,2.31E-15,2.31E-15,0.00E+00,2.31E-15,3.54E-15
IM0141,1.28E-14,1.02E-14,5.59E-15,1.63E-14,6.75E-15,2.30E-15,6.75E-15,6.75E-15,2.30E-15,2.30E-15,0.00E+00,2.30E-15,6.75E-15
IM0142,5.89E-15,4.59E-15,2.27E-15,6.69E-15,2.44E-15,8.79E-16,2.44E-15,2.44E-15,8.79E-16,8.79E-16,0.00E+00,8.79E-16,2.44E-15
IM0143,5.20E-14,4.42E-14,1.95E-14,7.01E-14,2.67E-14,1.05E-14,2.67E-14,2.67E-14,1.05E-14,1.05E-14,0.00E+00,1.05E-14,2.67E-14
IM0144,3.06E-14,2.80E-14,1.15E-14,4.37E-14,1.64E-14,7.76E-15,1.64E-14,1.64E-14,7.76E-15,7.76E-15,0.00E+00,7.76E-15,1.64E-14
IM0145,9.96E-15,9.28E-15,4.39E-15,1.50E-14,5.67E-15,2.41E-15,5.67E-15,5.67E-15,2.41E-15,2.41E-15,0.00E+00,2.41E-15,5.67E-15
IM0146,1.70E-14,1.49E-14,6.68E-15,2.23E-14,9.11E-15,3.40E-15,9.11E-15,9.11E-15,3.40E-15,3.40E-15,0.00E+00,3.40E-15,9.11E-15
IM0147,7.15E-15,5.94E-15,2.79E-15,8.69E-15,3.33E-15,1.15E-15,3.33E-15,3.33E-15,1.15E-15,1.15E-15,0.00E+00,1.15E-15,3.33E-15
IM0148,NaN,NaN,4.64E-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
IM0149,5.96E-15,4.49E-15,2.81E-15,7.30E-15,3.11E-15,1.08E-15,3.11E-15,3.11E-15,1.08E-15,1.08E-15,0.00E+00,1.08E-15,3.11E-15
IM0150,7.12E-14,5.59E-14,3.09E-14,8.45E-14,3.47E-14,1.45E-14,3.47E-14,3.47E-14,1.45E-14,1.45E-14,0.00E+00,1.45E-14,3.47E-14
IM0151,1.14E-13,9.69E-14,NaN,1.48E-13,6.16E-14,2.85E-14,6.16E-14,6.16E-14,2.85E-14,2.85E-14,0.00E+00,2.85E-14,6.16E-14
IM0152,2.83E-14,2.41E-14,1.37E-14,4.05E-14,1.66E-14,7.38E-15,1.66E-14,1.66E-14,7.38E-15,7.38E-15,0.00E+00,7.38E-15,1.66E-14
IM0153,4.83E-15,3.99E-15,1.86E-15,6.91E-15,2.69E-15,1.01E-15,2.69E-15,2.69E-15,1.01E-15,1.01E-15,0.00E+00,1.01E-15,2.69E-15
IM0154,1.08E-13,9.67E-14,4.12E-14,1.37E-13,6.07E-14,1.89E-14,6.07E-14,6.07E-14,1.89E-14,1.89E-14,0.00E+00,1.89E-14,6.07E-14
IM0155,1.82E-13,1.59E-13,7.26E-14,2.42E-13,1.02E-13,3.72E-14,1.02E-13,1.02E-13,3.72E-14,3.72E-14,0.00E+00,3.72E-14,1.02E-13
IM0156,1.01E-13,9.53E-14,5.48E-14,1.47E-13,5.24E-14,2.07E-14,5.24E-14,5.24E-14,2.07E-14,2.07E-14,0.00E+00,2.07E-14,5.24E-14
IM0157,5.56E-15,4.70E-15,1.77E-15,7.11E-15,2.93E-15,8.45E-16,2.93E-15,2.93E-15,8.45E-16,8.45E-16,0.00E+00,8.45E-16,2.93E-15
IM0158,7.97E-15,6.87E-15,2.76E-15,1.05E-14,4.13E-15,1.44E-15,4.13E-15,4.13E-15,1.44E-15,1.44E-15,0.00E+00,1.44E-15,4.13E-15
IM0159,1.91E-14,1.55E-14,6.61E-15,2.66E-14,9.97E-15,4.84E-15,9.97E-15,9.97E-15,4.84E-15,4.84E-15,0.00E+00,4.84E-15,9.97E-15
IM0160,4.80E-15,4.29E-15,1.61E-15,6.34E-15,2.64E-15,8.07E-16,2.64E-15,2.64E-15,8.07E-16,8.07E-16,0.00E+00,8.07E-16,2.64E-15
IM0161,4.67E-15,3.72E-15,1.94E-15,6.68E-15,2.37E-15,1.14E-15,2.37E-15,2.37E-15,1.14E-15,1.14E-15,0.00E+00,1.14E-15,2.37E-15
IM0162,1.49E-15,1.14E-15,5.21E-16,1.87E-15,8.57E-16,2.42E-16,8.57E-16,8.57E-16,2.42E-16,2.42E-16,0.00E+00,2.42E-16,8.57E-16
IM0163,8.98E-15,6.98E-15,3.81E-15,1.12E-14,4.87E-15,1.87E-15,4.87E-15,4.87E-15,1.87E-15,1.87E-15,0.00E+00,1.87E-15,4.87E-15
IM0164,4.43E-15,3.62E-15,1.77E-15,5.32E-15,2.11E-15,7.43E-16,2.11E-15,2.11E-15,7.43E-16,7.43E-16,0.00E+00,7.43E-16,2.11E-15
IM0165,3.45E-15,2.86E-15,1.34E-15,4.27E-15,1.70E-15,5.54E-16,1.70E-15,1.70E-15,5.54E-16,5.54E-16,0.00E+00,5.54E-16,1.70E-15
IM0166,1.90E-15,1.36E-15,6.64E-16,2.32E-15,1.08E-15,3.29E-16,1.08E-15,1.08E-15,3.29E-16,3.29E-16,0.00E+00,3.29E-16,1.08E-15
IM0167,2.64E-14,2.20E-14,1.06E-14,3.71E-14,1.49E-14,4.49E-15,1.49E-14,1.49E-14,4.49E-15,4.49E-15,0.00E+00,4.49E-15,1.49E-14
IM0168,1.30E-14,1.06E-14,4.57E-15,1.66E-14,6.52E-15,2.04E-15,6.52E-15,6.52E-15,2.04E-15,2.04E-15,0.00E+00,2.04E-15,6.52E-15
IM0169,1.93E-14,1.33E-14,1.32E-14,2.86E-14,1.15E-14,3.27E-15,1.15E-14,1.15E-14,3.27E-15,3.27E-15,0.00E+00,3.27E-15,1.15E-14
IM0170,9.90E-14,6.85E-14,4.58E-14,1.40E-13,6.91E-14,2.59E-14,6.91E-14,6.91E-14,2.59E-14,2.59E-14,0.00E+00,2.59E-14,6.91E-14
IM0171,1.43E-14,1.14E-14,6.13E-15,1.97E-14,8.75E-15,3.14E-15,8.75E-15,8.75E-15,3.14E-15,3.14E-15,0.00E+00,3.14E-15,8.75E-15
IM0172,1.73E-14,1.30E-14,8.20E-15,2.44E-14,1.06E-14,3.96E-15,1.06E-14,1.06E-14,3.96E-15,3.96E-15,0.00E+00,3.96E-15,1.06E-14
IM0201,2.28E-15,1.86E-15,8.80E-16,2.98E-15,1.06E-15,3.65E-16,1.06E-15,1.06E-15,3.65E-16,3.65E-16,0.00E+00,3.65E-16,1.06E-15
IM0202,3.25E-15,2.52E-15,1.36E-15,4.28E-15,1.45E-15,5.92E-16,1.45E-15,1.45E-15,5.92E-16,5.92E-16,0.00E+00,5.92E-16,1.45E-15
IM0203,1.62E-15,1.22E-15,5.84E-16,2.37E-15,7.98E-16,3.09E-16,7.98E-16,7.98E-16,3.09E-16,3.09E-16,0.00E+00,3.09E-16,7.98E-16
IM0204,1.40E-15,1.10E-15,4.87E-16,1.83E-15,6.63E-16,2.31E-16,6.63E-16,6.63E-16,2.31E-16,2.31E-16,0.00E+00,2.31E-16,6.63E-16
IM0205,7.37E-15,5.90E-15,2.81E-15,8.85E-15,3.02E-15,1.19E-15,3.02E-15,3.02E-15,1.19E-15,1.19E-15,0.00E+00,1.19E-15,3.02E-15
IM0206,1.43E-15,1.18E-15,4.93E-16,1.94E-15,7.00E-16,2.36E-16,7.00E-16,7.00E-16,2.36E-16,2.36E-16,0.00E+00,2.36E-16,7.00E-16
IM0207,3.17E-15,2.48E-15,1.24E-15,4.06E-15,1.42E-15,5.39E-16,1.42E-15,1.42E-15,5.39E-16,5.39E-16,0.00E+00,5.39E-16,1.42E-15
IM0208,1.36E-15,1.15E-15,4.75E-16,1.90E-15,7.28E-16,2.49E-16,7.28E-16,7.28E-16,2.49E-16,2.49E-16,0.00E+00,2.49E-16,7.28E-16
IM0209,1.12E-14,8.41E-15,4.56E-15,1.33E-14,4.41E-15,1.81E-15,4.41E-15,4.41E-15,1.81E-15,1.81E-15,0.00E+00,1.81E-15,4.41E-15
IM0210,7.32E-15,5.73E-15,3.46E-15,1.03E-14,3.38E-15,1.70E-15,3.38E-15,3.38E-15,1.70E-15,1.70E-15,0.00E+00,1.70E-15,3.38E-15
IM0211,1.29E-14,1.11E-14,6.34E-15,1.70E-14,6.52E-15,2.75E-15,6.52E-15,6.52E-15,2.75E-15,2.75E-15,0.00E+00,2.75E-15,6.52E-15
IM0212,9.43E-15,8.56E-15,3.76E-15,1.34E-14,4.34E-15,1.73E-15,4.34E-15,4.34E-15,1.73E-15,1.73E-15,0.00E+00,1.73E-15,4.34E-15
IM0301,6.08E-15,4.88E-15,2.25E-15,8.40E-15,3.18E-15,1.23E-15,3.18E-15,3.18E-15,1.23E-15,1.23E-15,0.00E+00,1.23E-15,3.18E-15
IM0302,7.45E-14,6.17E-14,2.58E-14,1.03E-13,2.93E-14,1.40E-14,2.93E-14,2.93E-14,1.40E-14,1.40E-14,0.00E+00,1.40E-14,2.93E-14
IM0303,2.34E-15,2.23E-15,1.66E-15,5.50E-15,1.52E-15,6.33E-16,1.52E-15,1.52E-15,6.33E-16,6.33E-16,0.00E+00,6.33E-16,1.52E-15
IM0304,1.81E-14,1.63E-14,7.32E-15,2.84E-14,8.04E-15,5.35E-15,8.04E-15,8.04E-15,5.35E-15,5.35E-15,0.00E+00,5.35E-15,8.04E-15
IM0401,8.34E-15,6.77E-15,3.86E-15,1.35E-14,4.61E-15,2.31E-15,4.61E-15,4.61E-15,2.31E-15,2.31E-15,0.00E+00,2.31E-15,4.61E-15
IM0402,9.79E-15,8.34E-15,4.23E-15,1.79E-14,5.20E-15,3.47E-15,5.20E-15,5.20E-15,3.47E-15,3.47E-15,0.00E+00,3.47E-15,5.20E-15
IM0403,3.56E-15,2.55E-15,1.51E-15,5.31E-15,1.73E-15,7.32E-16,1.73E-15,1.73E-15,7.32E-16,7.32E-16,0.00E+00,7.32E-16,1.73E-15
IM0501,5.37E-15,3.69E-15,2.84E-15,9.76E-15,2.21E-15,1.59E-15,2.21E-15,2.21E-15,1.59E-15,1.59E-15,0.00E+00,1.59E-15,2.21E-15
IM0502,2.94E-15,2.13E-15,1.43E-15,4.40E-15,1.32E-15,6.11E-16,1.32E-15,1.32E-15,6.11E-16,6.11E-16,0.00E+00,6.11E-16,1.32E-15
IM0701,5.04E-15,3.50E-15,1.82E-15,6.82E-15,2.24E-15,9.36E-16,2.24E-15,2.24E-15,9.36E-16,9.36E-16,0.00E+00,9.36E-16,2.24E-15
IM0901,4.00E-16,3.22E-16,2.99E-16,6.90E-16,1.68E-16,5.43E-17,1.68E-16,1.68E-16,5.43E-17,5.43E-17,0.00E+00,5.43E-17,1.68E-16
IM1001,8.02E-14,8.20E-14,3.40E-14,NaN,4.06E-14,1.97E-14,4.06E-14,4.06E-14,1.97E-14,1.97E-14,0.00E+00,1.97E-14,4.06E-14
IM1301,1.65E-15,1.34E-15,6.50E-16,2.25E-15,7.31E-16,2.55E-16,7.31E-16,7.31E-16,2.55E-16,2.55E-16,0.00E+00,2.55E-16,7.31E-16
IM1302,2.15E-16,1.97E-16,8.62E-17,4.13E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
IM1303,8.72E-16,7.18E-16,3.39E-16,1.27E-15,4.01E-16,1.28E-16,4.01E-16,4.01E-16,1.28E-16,1.28E-16,0.00E+00,1.28E-16,4.01E-16
IM1304,2.85E-16,2.22E-16,1.94E-16,5.58E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
IM1401,2.13E-15,1.65E-15,7.50E-16,2.63E-15,1.01E-15,3.38E-16,1.01E-15,1.01E-15,3.38E-16,3.38E-16,0.00E+00,3.38E-16,1.01E-15
IM1402,8.09E-15,7.13E-15,3.21E-15,1.01E-14,3.55E-15,1.32E-15,3.55E-15,3.55E-15,1.32E-15,1.32E-15,0.00E+00,1.32E-15,3.55E-15
