"Scenario","Ecoregion","A_org","A_new","Annual","Permanent","Pasture","Urban","For_PlantationNonTimber","For_ClearCut","For_Retention_EU","For_PlantationFuel","For_SlashAndBurn","For_SelectionSystem_EU","For_Selective_im","For_Agroforestry","For_TimberPlant","For_RIL","Secondary","ForOther_Extensive","ForOther_Intensive"
"RCP_SFM_AF75","AT0906",1.46690767797,0.0052529141,0.077476045,0.000615828,0.0794366079,0.00627965597,0,0,0,1.55e-06,0,0,0,0,1.55e-06,0,1.22112336203264,0.0393446746419999,0.0373754903253553
"RCP_SFM_AF75","AT0907",14.778867709698,1.37079351902,0.402654326,0.613711128,5.69884409698,0.04039346272,0,0,0,0.000996427,0,0,0,0,0.000996427,0,5.45823753973798,0.311094729561631,0.881146053678403
"RCP_SFM_AF75","AT0908",2.860367696,0.31626116791,0.062452328,0.050298696,1.82871123609,0,0,0,0,6.4e-06,0,0,0,0,6.4e-06,0,0.567634791062333,0.0179474701110144,0.0170492068266529
"RCP_SFM_AF75","AT1001",2.770600232711,0.16208365824,0.053133452,0.004375147,1.10048502076,0.003818709711,0,0,0,0,0,0,0,0,0,0,1.36406021814655,0.0423826297693356,0.0402613970841163
"RCP_SFM_AF75","AT1002",7.52088419653,1.26028476103,0.066646891,0.057294617,2.17509402597,0.02970107553,0,0,0,0.0002069305,0,0,0,0,0.0002069305,0,3.70021887559479,0.118582547873296,0.112647541531915
"RCP_SFM_AF75","AT1003",1.225126562,0.1027954084,0.057144316,0.039867071,0.6802040166,0,0,0,0,0.0022480205,0,0,0,0,0.0022480205,0,0.30445281226532,0.017437352967235,0.0187295437674455
"RCP_SFM_AF75","AT1004",20.51120788003,1.50917111663,1.696023025,0.373140316,7.81106135037,0.13764327003,0,0,0,0.0542558745,0,0,0,0,0.0542558745,0,7.14878973345315,0.802339245488319,0.924528074058532
"RCP_SFM_AF75","AT1005",0.325839844611,0.02453968145,0.034944093,0.022619074,0.19294372255,0.002206365611,0,0,0,8.55e-06,0,0,0,0,8.55e-06,0,0.0188380731886782,0.00408814119520907,0.0256435936161127
"RCP_SFM_AF75","AT1006",0.87050679081,0.05875937606,0.043060596,0.000569719,0.15429174894,0.02155449481,0,0,0,8.16795e-05,0,0,0,0,8.16795e-05,0,0.557106359115841,0.0179497578340453,0.0170513800501141
"RCP_SFM_AF75","AT1007",26.8426137633145,3.12293694309,2.882494572,0.519332712,16.89200195591,3.16087331835,0,0,0,0.0003394435,0,0,0,0,0.0003394435,0,0.22474414772735,0.00549092691084659,0.034060300326267
"RCP_SFM_AF75","AT1008",2.8706415851,0.24811032289,0.333892888,0.056397997,1.83631559611,0.3861988421,0,0,0,0,0,0,0,0,0,0,0.009725939,0,0
"RCP_SFM_AF75","AT1009",18.5489999074,2.42285814838,2.671447018,2.037865682,10.04940800762,0.3273058524,0,0,0,0.0062603675,0,0,0,0,0.0062603675,0,0.81435232024739,0.0987967753933273,0.114445368359283
"RCP_SFM_AF75","AT1010",1.34669003585738,0.11152666119,0.440751731,0.046764201,0.69204079781,0.02062103244,0,0,0,0.000533675,0,0,0,0,0.000533675,0,0.0170078330514221,0.00318751760011352,0.0137229117658449
"RCP_SFM_AF75","AT1011",0.126751998,0.03540618759,0.012730587,0.00077563,0.07672514241,0,0,0,0,1.15e-05,0,0,0,0,1.15e-05,0,0.00102693143424977,3.30877980198036e-05,3.14317677304248e-05
"RCP_SFM_AF75","AT1012",2.11693191013,0.11193422523,0.087086667,0.014216951,0.61694606277,0.03937514013,0,0,0,0.008114086,0,0,0,0,0.008114086,0,0.969654619537413,0.121031898558086,0.1404581739045
"RCP_SFM_AF75","AT1013",0.270683979472692,0.06700311091,0.019525178,0.015472416,0.03071042009,0.00687367748,0,0,0,4.365e-06,0,0,0,0,4.365e-06,0,0.0639931769581156,0.0200414007418837,0.0470558692926926
"RCP_SFM_AF75","AT1014",1.14020582552,0.05604207814,0.223745314,0.003527726,0.39998205186,0.10480236652,0,0,0,5.047e-05,0,0,0,0,5.047e-05,0,0.331197055948606,0.0106711908180967,0.0101371022332978
"RCP_SFM_AF75","AT1015",3.48150153587,0.18926272788,0.30009933,0.065655794,1.38132032312,0.02079075287,0,0,0,0.0001665315,0,0,0,0,0.0001665315,0,0.920290566799402,0.0962841315134969,0.507464846687101
"RCP_SFM_AF75","AT1201",1.44111581044,0.33752633936,0.005703902,0.065205359,0.53715142864,0.02062103244,0,0,0,0.0030881415,0,0,0,0,0.0030881415,0,0.369197761110591,0.0460696391256273,0.053464065763782
"RCP_SFM_AF75","AT1202",3.072943774386,0.70937466649,0.039418105,0.437299727,1.11946267051,0.053631656386,0,0,0,0.0046090205,0,0,0,0,0.0046090205,0,0.55602505081158,0.068740330860059,0.0797735263283612
"RCP_SFM_AF75","AT1203",3.355405113876,1.00698708124,0.028579951,0.465899681,1.37752325976,0.008995182876,0,0,0,0.0030012665,0,0,0,0,0.0030012665,0,0.364686127342153,0.0447725318795485,0.0519587657782985
"RCP_SFM_AF75","AT1302",1.83419717634,0.13196165477,0.091065911,0.15729944,1.22253476823,0.13068473234,0,0.000540557,0,0,0,0,0,0,0,0,0.0162214005437063,0.00542573888842316,0.0784629735678705
"RCP_SFM_AF75","AT1303",0.427905407,0.03419701376,0.029172446,0.008627605,0.35590834224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RCP_SFM_AF75","AT1304",0.139270165706944,0.0016049313,0.006268891,0.002734228,0.1115114317,0,0,8.99e-05,0,0,0,0,0,0,0,0,0.00855488873349364,0.00160331174010105,0.00690258323334948
"RCP_SFM_AF75","AT1305",5.15171054922097,0.86523080337,0.146614104,0.476369389,3.56194216963,0.024779183014,0,0.000300092,0,0,0,0,0,0,0,0,0.0348542445953277,0.00689660461030575,0.0347239590013378
"RCP_SFM_AF75","AT1306",1.3440680194,0.17820009142,0.00095,0.054967706,0.74229987858,0.3670204334,0,0,0,0,0,0,0,0,0,0,0.00062991,0,0
"RCP_SFM_AF75","AT1307",2.00026814788331,0.38957950682,0,0.002118833,1.59307930718,0.0145110969,0,0,0,4.015e-06,0,0,0,0,4.015e-06,0,0.000487081747744339,9.12862702106141e-05,0.0003930059653596
