"Scenario","Globiom_Reg","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_SelectionSystem_im_median","For_SelectionSystem_ex_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"REF_MFM_AF0","CongoBasin","2030",0,0,0,0,0.0416768254011623,0.020448874919973,0.0903244907140392,0.136177801460547,0,0,0,0,0.00124276754087972,0,0,0,0,0,0,0,0,0.0114415208803926,0,0,0.00400134941144095,0.0507604660127588,0,0.0158767804121053,0,0.0268219752949217
"REF_MFM_AF0","CongoBasin","2040",0,0,0,0,0.0455179967713873,0.0205888861416102,0.0970863732598464,0.136338682302427,0,0,0,0,0.0012507212741232,0,0,0,0,0,0,0,0,0.0119236830916698,0,0,0.00559081049742093,0.0486043702492067,0,0.0162233635954979,0,0.032055088749084
"REF_MFM_AF0","CongoBasin","2050",0,0,0,0,0.0486853221266208,0.020738529593114,0.109724537109987,0.136577139045927,0,0,0,0,0.00128482240079873,0,0,0,0,0,0,0,0,0.0129382981295132,0,0,0.00680649795586681,0.0467340210889643,0,0.0161539944938774,0,0.0341810926616331
"REF_MFM_AF0","CongoBasin","2060",0,0,0,0,0.0531115128545616,0.020870742450146,0.122813973255156,0.136782363940474,0,0,0,0,0.00129962745176131,0,0,0,0,0,0,0,0,0.0149729712943703,0,0,0.00805339157639102,0.0450622925425898,0,0.015785980669088,0,0.0320984502680165
"REF_MFM_AF0","CongoBasin","2070",0,0,0,0,0.0584205844165903,0.0209773013104306,0.133920727120618,0.136940898585811,0,0,0,0,0.00133355259346654,0,0,0,0,0,0,0,0,0.0169639144955493,0,0,0.00924265667465458,0.0436372130731292,0,0.015436024109474,0,0.0300327282560117
"REF_MFM_AF0","CongoBasin","2080",0,0,0,0,0.0637793064605862,0.0210720982065602,0.140969255061285,0.137054985096518,0,0,0,0,0.00157626937834334,0,0,0,0,0,0,0,0,0.0188074274648561,0,0,0.00990428070955436,0.0424951302075403,0,0.015449337530342,0,0.0305171205565638
"REF_MFM_AF0","CongoBasin","2090",0,0,0,0,0.069342618782264,0.0211692788677148,0.149698493957104,0.13724502593398,0,0,0,0,0.00158956031942482,0,0,0,0,0,0,0,0,0.0197430574860348,0,0,0.0103215317155221,0.041423673115924,0,0.0156572879228666,0,0.0319242665500502
"REF_MFM_AF0","CongoBasin","2100",0,0,0,0,0.0747732723774749,0.0212281453250498,0.15078657780557,0.137281160009269,0,0,0,0,0.00161131819486081,0,0,0,0,0,0,0,0,0.0204390558023904,0,0,0.0111051679490481,0.0403300612754604,0,0.0161004430750327,0,0.0339905959075136
"REF_MFM_AF0","EasternAf","2000",0,0,0,0,0.0638570207577753,0.0426729255777855,0.418627961997251,0.0447161515440323,0,0,0,0,5.56917233150754e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0214306811966383,0,0.00203102721986565,0,0.0445709176596999
"REF_MFM_AF0","EasternAf","2010",0,0,0,0,0.0739073919722047,0.043363597002592,0.431500072037277,0.0451030589709581,0,2.45349071377204e-07,0,0,8.61046515293596e-05,0,0,0,0,0,0,0,0,0,0,0,0.000601660967134815,0.0166542340916349,0,0.00246861540548482,0,0.0488727639040147
